species,Longitude,Latitude,Elevation_ft,Date,ppt_in,tmean_ F
NAVI4,-105.1768,43.4643,4426,1996-11,0.58,28.6
NAVI4,-105.1768,43.4643,4426,1996-12,0.6,21
NAVI4,-105.1768,43.4643,4426,1997-01,0.23,20.3
NAVI4,-105.1768,43.4643,4426,1997-02,0.68,27.5
NAVI4,-105.1768,43.4643,4426,1997-03,0.13,37.4
NAVI4,-105.1768,43.4643,4426,1997-04,2.16,37.2
NAVI4,-105.1768,43.4643,4426,1997-05,2.18,52.7
NAVI4,-105.1768,43.4643,4426,1997-06,1.64,66
NAVI4,-105.1768,43.4643,4426,1997-07,4.43,70.4
NAVI4,-105.1768,43.4643,4426,1997-08,0.79,69.9
NAVI4,-105.1768,43.4643,4426,1997-09,1.06,61.9
NAVI4,-105.1768,43.4643,4426,1997-10,1.12,48.3
NAVI4,-105.1768,43.4643,4426,1997-11,0.09,32.1
NAVI4,-105.1768,43.4643,4426,1997-12,0.5,24.9
NAVI4,-105.1768,43.4643,4426,1998-01,0.36,24.1
NAVI4,-105.1768,43.4643,4426,1998-02,1.04,32
NAVI4,-105.1768,43.4643,4426,1998-03,1.65,29.6
NAVI4,-105.1768,43.4643,4426,1998-04,0.97,44.6
NAVI4,-105.1768,43.4643,4426,1998-05,1.6,56.4
NAVI4,-105.1768,43.4643,4426,1998-06,2.51,58.2
NAVI4,-105.1768,43.4643,4426,1998-07,2.65,73.4
NAVI4,-105.1768,43.4643,4426,1998-08,2.13,71.2
NAVI4,-105.1768,43.4643,4426,1998-09,1.31,66
NAVI4,-105.1768,43.4643,4426,1998-10,4.33,46.9
NAVI4,-105.1768,43.4643,4426,1998-11,0.7,36.9
NAVI4,-105.1768,43.4643,4426,1998-12,0.17,24.8
NAVI4,-105.1768,43.4643,4426,1999-01,0.1,26.4
NAVI4,-105.1768,43.4643,4426,1999-02,0.05,34.6
NAVI4,-105.1768,43.4643,4426,1999-03,0.38,38.9
NAVI4,-105.1768,43.4643,4426,1999-04,2.43,41
NAVI4,-105.1768,43.4643,4426,1999-05,1.2,52.1
NAVI4,-105.1768,43.4643,4426,1999-06,5.36,62.2
NAVI4,-105.1768,43.4643,4426,1999-07,0.53,72
NAVI4,-105.1768,43.4643,4426,1999-08,1.37,71.6
NAVI4,-105.1768,43.4643,4426,1999-09,1.55,56
NAVI4,-105.1768,43.4643,4426,1999-10,0.12,48.9
NAVI4,-105.1768,43.4643,4426,1999-11,0.39,43.1
NAVI4,-105.1768,43.4643,4426,1999-12,0.19,30.5
NAVI4,-105.1768,43.4643,4426,2000-01,0.36,26.5
NAVI4,-105.1768,43.4643,4426,2000-02,0.46,31.6
NAVI4,-105.1768,43.4643,4426,2000-03,0.6,38
NAVI4,-105.1768,43.4643,4426,2000-04,2.95,44
NAVI4,-105.1768,43.4643,4426,2000-05,2.18,55.5
NAVI4,-105.1768,43.4643,4426,2000-06,1.2,62
NAVI4,-105.1768,43.4643,4426,2000-07,1.19,74.3
NAVI4,-105.1768,43.4643,4426,2000-08,0.28,73.5
NAVI4,-105.1768,43.4643,4426,2000-09,1.11,60.5
NAVI4,-105.1768,43.4643,4426,2000-10,0.35,47.9
NAVI4,-105.1768,43.4643,4426,2000-11,1.23,22.1
NAVI4,-105.1768,43.4643,4426,2000-12,0.25,17.5
NAVI4,-105.1768,43.4643,4426,2001-01,0.08,24.8
NAVI4,-105.1768,43.4643,4426,2001-02,0.84,18
NAVI4,-105.1768,43.4643,4426,2001-03,0.1,33.8
NAVI4,-105.1768,43.4643,4426,2001-04,2.26,45.1
NAVI4,-105.1768,43.4643,4426,2001-05,0.11,55.6
NAVI4,-105.1768,43.4643,4426,2001-06,2.36,65
NAVI4,-105.1768,43.4643,4426,2001-07,3.51,73.9
NAVI4,-105.1768,43.4643,4426,2001-08,0.81,74.1
NAVI4,-105.1768,43.4643,4426,2001-09,0.48,62.6
NAVI4,-105.1768,43.4643,4426,2001-10,0.72,47
NAVI4,-105.1768,43.4643,4426,2001-11,0.85,36.8
NAVI4,-105.1768,43.4643,4426,2001-12,0.13,25.8
NAVI4,-105.1768,43.4643,4426,2002-01,0.01,24.1
NAVI4,-105.1768,43.4643,4426,2002-02,0.22,27.8
NAVI4,-105.1768,43.4643,4426,2002-03,1.13,22.9
NAVI4,-105.1768,43.4643,4426,2002-04,1.12,43.1
NAVI4,-105.1768,43.4643,4426,2002-05,1.78,50.7
NAVI4,-105.1768,43.4643,4426,2002-06,0.22,67.9
NAVI4,-105.1768,43.4643,4426,2002-07,0.44,77.1
NAVI4,-105.1768,43.4643,4426,2002-08,1.74,68.9
NAVI4,-105.1768,43.4643,4426,2002-09,1.71,60.4
NAVI4,-105.1768,43.4643,4426,2002-10,0.55,40.4
NAVI4,-105.1768,43.4643,4426,2002-11,0.28,34.3
NAVI4,-105.1768,43.4643,4426,2002-12,0.09,30.2
NAVI4,-105.1768,43.4643,4426,2003-01,0.27,29.4
NAVI4,-105.1768,43.4643,4426,2003-02,0.58,22.7
NAVI4,-105.1768,43.4643,4426,2003-03,1.94,33.5
NAVI4,-105.1768,43.4643,4426,2003-04,1.7,48.4
NAVI4,-105.1768,43.4643,4426,2003-05,1.15,54.1
NAVI4,-105.1768,43.4643,4426,2003-06,3.38,60.5
NAVI4,-105.1768,43.4643,4426,2003-07,0.26,76.6
NAVI4,-105.1768,43.4643,4426,2003-08,0.77,76
NAVI4,-105.1768,43.4643,4426,2003-09,1.43,57.9
NAVI4,-105.1768,43.4643,4426,2003-10,0.68,51.2
NAVI4,-105.1768,43.4643,4426,2003-11,0.48,27
NAVI4,-105.1768,43.4643,4426,2003-12,0.44,28.1
NAVI4,-105.1768,43.4643,4426,2004-01,0.11,25.6
NAVI4,-105.1768,43.4643,4426,2004-02,0.59,28.2
NAVI4,-105.1768,43.4643,4426,2004-03,0.2,39.4
NAVI4,-105.1768,43.4643,4426,2004-04,0.52,46.7
NAVI4,-105.1768,43.4643,4426,2004-05,1.04,54.5
NAVI4,-105.1768,43.4643,4426,2004-06,0.44,60.9
NAVI4,-105.1768,43.4643,4426,2004-07,3.3,70.5
NAVI4,-105.1768,43.4643,4426,2004-08,0.17,67.3
NAVI4,-105.1768,43.4643,4426,2004-09,1.12,61.1
NAVI4,-105.1768,43.4643,4426,2004-10,1.18,48.5
NAVI4,-105.1768,43.4643,4426,2004-11,0.57,34.9
NAVI4,-105.1768,43.4643,4426,2004-12,0.09,29
NAVI4,-105.1768,43.4643,4426,2005-01,0.36,24
,,,,,,
ANGE,-103.576,42.69,4157,1991-01,0.29,19.9
ANGE,-103.576,42.69,4157,1991-02,0.81,36.4
ANGE,-103.576,42.69,4157,1991-03,0.98,38
ANGE,-103.576,42.69,4157,1991-04,2.62,44.9
ANGE,-103.576,42.69,4157,1991-05,8.72,55.8
ANGE,-103.576,42.69,4157,1991-06,4.26,66.4
ANGE,-103.576,42.69,4157,1991-07,1.74,70.9
ANGE,-103.576,42.69,4157,1991-08,1.31,71.8
ANGE,-103.576,42.69,4157,1991-09,0.94,61
ANGE,-103.576,42.69,4157,1991-10,1.07,47.3
ANGE,-103.576,42.69,4157,1991-11,0.66,30.8
ANGE,-103.576,42.69,4157,1991-12,0.02,30.5
ANGE,-103.576,42.69,4157,1992-01,0.45,30.4
ANGE,-103.576,42.69,4157,1992-02,0.86,36.3
ANGE,-103.576,42.69,4157,1992-03,1.96,41
ANGE,-103.576,42.69,4157,1992-04,0.4,46.9
ANGE,-103.576,42.69,4157,1992-05,3.37,58.1
ANGE,-103.576,42.69,4157,1992-06,3.85,63.1
ANGE,-103.576,42.69,4157,1992-07,2.94,65.6
ANGE,-103.576,42.69,4157,1992-08,1.7,65.5
ANGE,-103.576,42.69,4157,1992-09,0.42,60.7
ANGE,-103.576,42.69,4157,1992-10,0.78,48.8
ANGE,-103.576,42.69,4157,1992-11,0.8,31.6
ANGE,-103.576,42.69,4157,1992-12,0.57,19.7
ANGE,-103.576,42.69,4157,1993-01,0.35,19
ANGE,-103.576,42.69,4157,1993-02,1.42,17.2
ANGE,-103.576,42.69,4157,1993-03,1.58,34.5
ANGE,-103.576,42.69,4157,1993-04,2.28,44.1
ANGE,-103.576,42.69,4157,1993-05,1.77,55.9
ANGE,-103.576,42.69,4157,1993-06,6.1,60.9
ANGE,-103.576,42.69,4157,1993-07,3.37,66.2
ANGE,-103.576,42.69,4157,1993-08,1.95,67.5
ANGE,-103.576,42.69,4157,1993-09,1.81,55.3
ANGE,-103.576,42.69,4157,1993-10,2.41,45.5
ANGE,-103.576,42.69,4157,1993-11,1.12,28.5
ANGE,-103.576,42.69,4157,1993-12,0.59,29.2
ANGE,-103.576,42.69,4157,1994-01,0.46,25
ANGE,-103.576,42.69,4157,1994-02,0.16,22.8
ANGE,-103.576,42.69,4157,1994-03,0.52,39.2
ANGE,-103.576,42.69,4157,1994-04,1.12,45.4
ANGE,-103.576,42.69,4157,1994-05,1.49,59.5
ANGE,-103.576,42.69,4157,1994-06,1.39,67.6
ANGE,-103.576,42.69,4157,1994-07,1.92,69.2
ANGE,-103.576,42.69,4157,1994-08,1.32,71.7
ANGE,-103.576,42.69,4157,1994-09,0.7,62.3
ANGE,-103.576,42.69,4157,1994-10,3.5,48.8
ANGE,-103.576,42.69,4157,1994-11,0.37,34.5
ANGE,-103.576,42.69,4157,1994-12,0.98,29.7
ANGE,-103.576,42.69,4157,1995-01,0.74,26.6
ANGE,-103.576,42.69,4157,1995-02,0.35,32.9
ANGE,-103.576,42.69,4157,1995-03,0.4,34.4
ANGE,-103.576,42.69,4157,1995-04,2.68,40.7
ANGE,-103.576,42.69,4157,1995-05,6.46,49.1
ANGE,-103.576,42.69,4157,1995-06,4.21,61.7
ANGE,-103.576,42.69,4157,1995-07,2.02,70
ANGE,-103.576,42.69,4157,1995-08,1.49,73.1
ANGE,-103.576,42.69,4157,1995-09,2.22,59.2
ANGE,-103.576,42.69,4157,1995-10,2.67,46
ANGE,-103.576,42.69,4157,1995-11,0.67,35.9
ANGE,-103.576,42.69,4157,1995-12,0.44,27.9
ANGE,-103.576,42.69,4157,1996-01,0.68,20.1
ANGE,-103.576,42.69,4157,1996-02,0.03,28.9
ANGE,-103.576,42.69,4157,1996-03,0.84,28.4
ANGE,-103.576,42.69,4157,1996-04,2.15,45.4
ANGE,-103.576,42.69,4157,1996-05,5.23,52.2
ANGE,-103.576,42.69,4157,1996-06,1.58,66
ANGE,-103.576,42.69,4157,1996-07,1.59,71
ANGE,-103.576,42.69,4157,1996-08,3.79,70.2
ANGE,-103.576,42.69,4157,1996-09,1.55,58.6
ANGE,-103.576,42.69,4157,1996-10,2.59,48.1
ANGE,-103.576,42.69,4157,1996-11,0.42,29.1
ANGE,-103.576,42.69,4157,1996-12,0.39,23.8
ANGE,-103.576,42.69,4157,1997-01,0.56,22.6
ANGE,-103.576,42.69,4157,1997-02,0.37,30.7
ANGE,-103.576,42.69,4157,1997-03,0.21,38.1
ANGE,-103.576,42.69,4157,1997-04,3.15,38.9
ANGE,-103.576,42.69,4157,1997-05,6.14,53.1
ANGE,-103.576,42.69,4157,1997-06,3.65,65.9
ANGE,-103.576,42.69,4157,1997-07,5.88,70.8
ANGE,-103.576,42.69,4157,1997-08,1.75,68.6
ANGE,-103.576,42.69,4157,1997-09,1.26,62.4
ANGE,-103.576,42.69,4157,1997-10,2.56,48.8
ANGE,-103.576,42.69,4157,1997-11,0.12,33.8
ANGE,-103.576,42.69,4157,1997-12,0.33,28.5
ANGE,-103.576,42.69,4157,1998-01,0.32,26.7
ANGE,-103.576,42.69,4157,1998-02,0.69,34.2
ANGE,-103.576,42.69,4157,1998-03,2.38,30.7
ANGE,-103.576,42.69,4157,1998-04,0.77,44
ANGE,-103.576,42.69,4157,1998-05,2.37,56.6
ANGE,-103.576,42.69,4157,1998-06,3.3,59
ANGE,-103.576,42.69,4157,1998-07,3.66,72.6
ANGE,-103.576,42.69,4157,1998-08,2.37,70.5
ANGE,-103.576,42.69,4157,1998-09,1.15,66
ANGE,-103.576,42.69,4157,1998-10,4.57,46.7
ANGE,-103.576,42.69,4157,1998-11,1.37,37.4
ANGE,-103.576,42.69,4157,1998-12,0.5,26.6
ANGE,-103.576,42.69,4157,1999-01,0.33,28.8
ANGE,-103.576,42.69,4157,1999-02,0.15,37.1
ANGE,-103.576,42.69,4157,1999-03,0.77,39.1
ANGE,-103.576,42.69,4157,1999-04,4.7,42
ANGE,-103.576,42.69,4157,1999-05,1.93,53.4
ANGE,-103.576,42.69,4157,1999-06,5.39,62.7
ANGE,-103.576,42.69,4157,1999-07,1.87,71.9
ANGE,-103.576,42.69,4157,1999-08,1.59,70.1
ANGE,-103.576,42.69,4157,1999-09,2.79,56.1
ANGE,-103.576,42.69,4157,1999-10,0.08,48.3
ANGE,-103.576,42.69,4157,1999-11,0.35,43.5
ANGE,-103.576,42.69,4157,1999-12,0.2,32.5
ANGE,-103.576,42.69,4157,2000-01,0.73,28.6
ANGE,-103.576,42.69,4157,2000-02,0.9,32.5
ANGE,-103.576,42.69,4157,2000-03,2.22,38.8
ANGE,-103.576,42.69,4157,2000-04,4.26,45
ANGE,-103.576,42.69,4157,2000-05,3.9,56.2
ANGE,-103.576,42.69,4157,2000-06,0.65,62.8
ANGE,-103.576,42.69,4157,2000-07,1.66,73.2
ANGE,-103.576,42.69,4157,2000-08,1.1,73.2
ANGE,-103.576,42.69,4157,2000-09,1.31,60.8
ANGE,-103.576,42.69,4157,2000-10,1.28,48.5
ANGE,-103.576,42.69,4157,2000-11,0.79,24.8
ANGE,-103.576,42.69,4157,2000-12,0.42,20.3
ANGE,-103.576,42.69,4157,2001-01,0.28,28
ANGE,-103.576,42.69,4157,2001-02,0.75,21
ANGE,-103.576,42.69,4157,2001-03,1.12,34.8
ANGE,-103.576,42.69,4157,2001-04,2.17,45.3
ANGE,-103.576,42.69,4157,2001-05,1.71,55.2
ANGE,-103.576,42.69,4157,2001-06,2.68,64
ANGE,-103.576,42.69,4157,2001-07,4.75,74.6
ANGE,-103.576,42.69,4157,2001-08,0.83,72.8
ANGE,-103.576,42.69,4157,2001-09,1.07,62.9
ANGE,-103.576,42.69,4157,2001-10,1.3,47.5
ANGE,-103.576,42.69,4157,2001-11,0.51,38.5
ANGE,-103.576,42.69,4157,2001-12,0.05,27.5
ANGE,-103.576,42.69,4157,2002-01,0.03,27.3
ANGE,-103.576,42.69,4157,2002-02,0.1,29.7
ANGE,-103.576,42.69,4157,2002-03,2.93,24.1
ANGE,-103.576,42.69,4157,2002-04,0.8,44.9
ANGE,-103.576,42.69,4157,2002-05,1.43,51
ANGE,-103.576,42.69,4157,2002-06,1.04,68.3
ANGE,-103.576,42.69,4157,2002-07,0.98,75.5
ANGE,-103.576,42.69,4157,2002-08,2.72,68.7
ANGE,-103.576,42.69,4157,2002-09,2.35,60.4
ANGE,-103.576,42.69,4157,2002-10,0.7,41.3
ANGE,-103.576,42.69,4157,2002-11,0.19,34.9
ANGE,-103.576,42.69,4157,2002-12,0.12,30.1
ANGE,-103.576,42.69,4157,2003-01,0.28,29.4
ANGE,-103.576,42.69,4157,2003-02,0.42,23.8
ANGE,-103.576,42.69,4157,2003-03,1.97,34.8
ANGE,-103.576,42.69,4157,2003-04,2.6,47.4
ANGE,-103.576,42.69,4157,2003-05,2.43,54.1
ANGE,-103.576,42.69,4157,2003-06,3.91,60.7
ANGE,-103.576,42.69,4157,2003-07,0.2,75.5
ANGE,-103.576,42.69,4157,2003-08,1.22,73.5
ANGE,-103.576,42.69,4157,2003-09,2.13,57.7
ANGE,-103.576,42.69,4157,2003-10,0.8,51.6
ANGE,-103.576,42.69,4157,2003-11,0.57,29.2
ANGE,-103.576,42.69,4157,2003-12,0.56,29.4
ANGE,-103.576,42.69,4157,2004-01,0.12,26.9
ANGE,-103.576,42.69,4157,2004-02,0.78,28.6
ANGE,-103.576,42.69,4157,2004-03,0.7,39.7
ANGE,-103.576,42.69,4157,2004-04,0.62,47.2
ANGE,-103.576,42.69,4157,2004-05,1.08,55.3
ANGE,-103.576,42.69,4157,2004-06,1.28,60.5
ANGE,-103.576,42.69,4157,2004-07,3.13,69.7
ANGE,-103.576,42.69,4157,2004-08,0.46,66.2
ANGE,-103.576,42.69,4157,2004-09,3.75,61.2
ANGE,-103.576,42.69,4157,2004-10,2.17,49.1
ANGE,-103.576,42.69,4157,2004-11,0.51,35.5
ANGE,-103.576,42.69,4157,2004-12,0.05,30.9
ANGE,-103.576,42.69,4157,2005-01,0.36,25.1
,,,,,,
ANGE,-103.097,42.6397,4321,1991-01,0.22,22.9
ANGE,-103.097,42.6397,4321,1991-02,0.8,39.2
ANGE,-103.097,42.6397,4321,1991-03,0.68,38.7
ANGE,-103.097,42.6397,4321,1991-04,2.48,45.8
ANGE,-103.097,42.6397,4321,1991-05,5.87,56.1
ANGE,-103.097,42.6397,4321,1991-06,5.87,66.9
ANGE,-103.097,42.6397,4321,1991-07,1.96,72.7
ANGE,-103.097,42.6397,4321,1991-08,1.15,73.9
ANGE,-103.097,42.6397,4321,1991-09,0.91,63.3
ANGE,-103.097,42.6397,4321,1991-10,1.21,49.2
ANGE,-103.097,42.6397,4321,1991-11,0.72,33
ANGE,-103.097,42.6397,4321,1991-12,0,35.3
ANGE,-103.097,42.6397,4321,1992-01,0.49,37.1
ANGE,-103.097,42.6397,4321,1992-02,0.8,38.8
ANGE,-103.097,42.6397,4321,1992-03,1.69,42
ANGE,-103.097,42.6397,4321,1992-04,0.46,47.4
ANGE,-103.097,42.6397,4321,1992-05,2.33,58.7
ANGE,-103.097,42.6397,4321,1992-06,5.26,63.7
ANGE,-103.097,42.6397,4321,1992-07,3.04,66.3
ANGE,-103.097,42.6397,4321,1992-08,1.77,66.9
ANGE,-103.097,42.6397,4321,1992-09,0.43,63.4
ANGE,-103.097,42.6397,4321,1992-10,0.55,51.6
ANGE,-103.097,42.6397,4321,1992-11,0.9,33.1
ANGE,-103.097,42.6397,4321,1992-12,0.39,25.8
ANGE,-103.097,42.6397,4321,1993-01,0.4,24.6
ANGE,-103.097,42.6397,4321,1993-02,1.55,23.7
ANGE,-103.097,42.6397,4321,1993-03,1.58,36.6
ANGE,-103.097,42.6397,4321,1993-04,1.87,45.2
ANGE,-103.097,42.6397,4321,1993-05,1.92,56.6
ANGE,-103.097,42.6397,4321,1993-06,6.64,61.7
ANGE,-103.097,42.6397,4321,1993-07,2.88,68.1
ANGE,-103.097,42.6397,4321,1993-08,1.36,69.2
ANGE,-103.097,42.6397,4321,1993-09,2.44,56.8
ANGE,-103.097,42.6397,4321,1993-10,2.01,46.9
ANGE,-103.097,42.6397,4321,1993-11,1.09,33.5
ANGE,-103.097,42.6397,4321,1993-12,0.61,34.9
ANGE,-103.097,42.6397,4321,1994-01,0.51,29.1
ANGE,-103.097,42.6397,4321,1994-02,0.14,25.7
ANGE,-103.097,42.6397,4321,1994-03,0.5,40.1
ANGE,-103.097,42.6397,4321,1994-04,1.05,46.8
ANGE,-103.097,42.6397,4321,1994-05,1.54,60.9
ANGE,-103.097,42.6397,4321,1994-06,1.3,68.8
ANGE,-103.097,42.6397,4321,1994-07,1.65,71.7
ANGE,-103.097,42.6397,4321,1994-08,1.3,74
ANGE,-103.097,42.6397,4321,1994-09,0.84,66.2
ANGE,-103.097,42.6397,4321,1994-10,2.89,50.3
ANGE,-103.097,42.6397,4321,1994-11,0.38,36.1
ANGE,-103.097,42.6397,4321,1994-12,1,38.2
ANGE,-103.097,42.6397,4321,1995-01,0.69,32.3
ANGE,-103.097,42.6397,4321,1995-02,0.35,35.2
ANGE,-103.097,42.6397,4321,1995-03,0.36,36.8
ANGE,-103.097,42.6397,4321,1995-04,2.54,41.3
ANGE,-103.097,42.6397,4321,1995-05,5.4,49.7
ANGE,-103.097,42.6397,4321,1995-06,4.29,63.7
ANGE,-103.097,42.6397,4321,1995-07,1.65,71.8
ANGE,-103.097,42.6397,4321,1995-08,1.71,75.3
ANGE,-103.097,42.6397,4321,1995-09,1.99,61.8
ANGE,-103.097,42.6397,4321,1995-10,2.46,50.3
ANGE,-103.097,42.6397,4321,1995-11,0.73,37.7
ANGE,-103.097,42.6397,4321,1995-12,0.42,31.2
ANGE,-103.097,42.6397,4321,1996-01,0.74,24.2
ANGE,-103.097,42.6397,4321,1996-02,0.02,31.8
ANGE,-103.097,42.6397,4321,1996-03,0.66,28.8
ANGE,-103.097,42.6397,4321,1996-04,1.75,46.1
ANGE,-103.097,42.6397,4321,1996-05,4.98,53.2
ANGE,-103.097,42.6397,4321,1996-06,1.79,67.7
ANGE,-103.097,42.6397,4321,1996-07,1.76,72.1
ANGE,-103.097,42.6397,4321,1996-08,4.57,71.3
ANGE,-103.097,42.6397,4321,1996-09,1.8,59.9
ANGE,-103.097,42.6397,4321,1996-10,2.15,50.3
ANGE,-103.097,42.6397,4321,1996-11,0.47,30.8
ANGE,-103.097,42.6397,4321,1996-12,0.45,25.3
ANGE,-103.097,42.6397,4321,1997-01,0.63,24.8
ANGE,-103.097,42.6397,4321,1997-02,0.46,34.7
ANGE,-103.097,42.6397,4321,1997-03,0.26,38.8
ANGE,-103.097,42.6397,4321,1997-04,2.97,40.5
ANGE,-103.097,42.6397,4321,1997-05,4.36,53.6
ANGE,-103.097,42.6397,4321,1997-06,3.71,67.1
ANGE,-103.097,42.6397,4321,1997-07,4.69,73.1
ANGE,-103.097,42.6397,4321,1997-08,1.48,70.8
ANGE,-103.097,42.6397,4321,1997-09,1.26,65.5
ANGE,-103.097,42.6397,4321,1997-10,2.24,50.9
ANGE,-103.097,42.6397,4321,1997-11,0.13,39.3
ANGE,-103.097,42.6397,4321,1997-12,0.21,34.4
ANGE,-103.097,42.6397,4321,1998-01,0.27,33.6
ANGE,-103.097,42.6397,4321,1998-02,0.73,38.4
ANGE,-103.097,42.6397,4321,1998-03,2.15,31.4
ANGE,-103.097,42.6397,4321,1998-04,0.59,45.8
ANGE,-103.097,42.6397,4321,1998-05,1.98,58.1
ANGE,-103.097,42.6397,4321,1998-06,3.47,60.6
ANGE,-103.097,42.6397,4321,1998-07,3.62,74.7
ANGE,-103.097,42.6397,4321,1998-08,2.09,73.1
ANGE,-103.097,42.6397,4321,1998-09,1.17,70
ANGE,-103.097,42.6397,4321,1998-10,4.08,49
ANGE,-103.097,42.6397,4321,1998-11,1.43,42.6
ANGE,-103.097,42.6397,4321,1998-12,0.42,34.2
ANGE,-103.097,42.6397,4321,1999-01,0.32,29.9
ANGE,-103.097,42.6397,4321,1999-02,0.19,42.5
ANGE,-103.097,42.6397,4321,1999-03,0.59,40.5
ANGE,-103.097,42.6397,4321,1999-04,4.21,43.3
ANGE,-103.097,42.6397,4321,1999-05,2.71,55.1
ANGE,-103.097,42.6397,4321,1999-06,5.28,64.3
ANGE,-103.097,42.6397,4321,1999-07,1.98,73.6
ANGE,-103.097,42.6397,4321,1999-08,1.16,72.9
ANGE,-103.097,42.6397,4321,1999-09,3.35,59.3
ANGE,-103.097,42.6397,4321,1999-10,0.08,51.2
ANGE,-103.097,42.6397,4321,1999-11,0.43,53.2
ANGE,-103.097,42.6397,4321,1999-12,0.22,40.3
