species,Longitude,Latitude,Elevation_ft,Date,ppt_in,tmean_F
NAVI4,-105.1768,43.4643,4426,2014-01,0.29,26.7
NAVI4,-105.1768,43.4643,4426,2014-02,0.36,18.6
NAVI4,-105.1768,43.4643,4426,2014-03,0.6,34.9
NAVI4,-105.1768,43.4643,4426,2014-04,1.73,43.5
NAVI4,-105.1768,43.4643,4426,2014-05,1.1,53.5
NAVI4,-105.1768,43.4643,4426,2014-06,2.37,61.2
NAVI4,-105.1768,43.4643,4426,2014-07,0.89,71.4
NAVI4,-105.1768,43.4643,4426,2014-08,1.14,70.3
NAVI4,-105.1768,43.4643,4426,2014-09,1.58,60.4
NAVI4,-105.1768,43.4643,4426,2014-10,0.16,50.8
NAVI4,-105.1768,43.4643,4426,2014-11,0.52,28.8
NAVI4,-105.1768,43.4643,4426,2014-12,0.63,26.6
NAVI4,-105.1768,43.4643,4426,2015-01,0.13,25.9
NAVI4,-105.1768,43.4643,4426,2015-02,0.48,30.5
NAVI4,-105.1768,43.4643,4426,2015-03,0.19,41.2
NAVI4,-105.1768,43.4643,4426,2015-04,2.18,45.4
NAVI4,-105.1768,43.4643,4426,2015-05,5.64,49.7
NAVI4,-105.1768,43.4643,4426,2015-06,4.15,66.7
NAVI4,-105.1768,43.4643,4426,2015-07,1.28,69.9
NAVI4,-105.1768,43.4643,4426,2015-08,0.81,71.4
NAVI4,-105.1768,43.4643,4426,2015-09,0.28,65.6
NAVI4,-105.1768,43.4643,4426,2015-10,0.73,52.1
NAVI4,-105.1768,43.4643,4426,2015-11,0.36,33.7
NAVI4,-105.1768,43.4643,4426,2015-12,0.24,24.7
NAVI4,-105.1768,43.4643,4426,2016-01,0.03,26.9
NAVI4,-105.1768,43.4643,4426,2016-02,0.58,34.5
NAVI4,-105.1768,43.4643,4426,2016-03,0.78,39.9
NAVI4,-105.1768,43.4643,4426,2016-04,1.79,45.4
NAVI4,-105.1768,43.4643,4426,2016-05,2.08,52.2
NAVI4,-105.1768,43.4643,4426,2016-06,1.06,70.2
NAVI4,-105.1768,43.4643,4426,2016-07,3.03,73.4
NAVI4,-105.1768,43.4643,4426,2016-08,0.98,69.6
NAVI4,-105.1768,43.4643,4426,2016-09,1.7,61.2
NAVI4,-105.1768,43.4643,4426,2016-10,0.1,52.3
NAVI4,-105.1768,43.4643,4426,2016-11,0.26,42
NAVI4,-105.1768,43.4643,4426,2016-12,0.5,16.1
NAVI4,-105.1768,43.4643,4426,2017-01,0.3,19.9
NAVI4,-105.1768,43.4643,4426,2017-02,0.91,31.4
NAVI4,-105.1768,43.4643,4426,2017-03,0.38,41.5
NAVI4,-105.1768,43.4643,4426,2017-04,2.89,44.6
NAVI4,-105.1768,43.4643,4426,2017-05,2.13,53.4
NAVI4,-105.1768,43.4643,4426,2017-06,1.63,65.5
NAVI4,-105.1768,43.4643,4426,2017-07,1.69,75.6
NAVI4,-105.1768,43.4643,4426,2017-08,1.69,68.9
NAVI4,-105.1768,43.4643,4426,2017-09,1.37,59.5
NAVI4,-105.1768,43.4643,4426,2017-10,0.91,46.1
NAVI4,-105.1768,43.4643,4426,2017-11,0.56,37.3
NAVI4,-105.1768,43.4643,4426,2017-12,0.58,23.3
NAVI4,-105.1768,43.4643,4426,2018-01,0.5,23.5
NAVI4,-105.1768,43.4643,4426,2018-02,0.6,16.9
NAVI4,-105.1768,43.4643,4426,2018-03,1.48,35.7
NAVI4,-105.1768,43.4643,4426,2018-04,0.62,41.3
NAVI4,-105.1768,43.4643,4426,2018-05,5.94,57.8
NAVI4,-105.1768,43.4643,4426,2018-06,3.48,65.5
NAVI4,-105.1768,43.4643,4426,2018-07,4.13,71
NAVI4,-105.1768,43.4643,4426,2018-08,0.99,68.1
NAVI4,-105.1768,43.4643,4426,2018-09,0.52,61.6
NAVI4,-105.1768,43.4643,4426,2018-10,1.02,44
NAVI4,-105.1768,43.4643,4426,2018-11,0.82,32.1
NAVI4,-105.1768,43.4643,4426,2018-12,0.76,26.6
NAVI4,-105.1768,43.4643,4426,2019-01,0.34,25.9
NAVI4,-105.1768,43.4643,4426,2019-02,0.2,13.6
NAVI4,-105.1768,43.4643,4426,2019-03,0.99,27.4
NAVI4,-105.1768,43.4643,4426,2019-04,1.07,44.9
NAVI4,-105.1768,43.4643,4426,2019-05,3.46,46.4
NAVI4,-105.1768,43.4643,4426,2019-06,3.23,62.2
NAVI4,-105.1768,43.4643,4426,2019-07,3.41,70
NAVI4,-105.1768,43.4643,4426,2019-08,3.39,70
NAVI4,-105.1768,43.4643,4426,2019-09,1.53,62.4
NAVI4,-105.1768,43.4643,4426,2019-10,0.66,38
NAVI4,-105.1768,43.4643,4426,2019-11,0.88,31.4
NAVI4,-105.1768,43.4643,4426,2019-12,0.21,28.9
NAVI4,-105.1768,43.4643,4426,2020-01,0.25,27.5
,,,,,,
ANGE,-103.576,42.69,4157,2005-02,0.04,33.7
ANGE,-103.576,42.69,4157,2005-03,1.05,36.5
ANGE,-103.576,42.69,4157,2005-04,2.79,45.1
ANGE,-103.576,42.69,4157,2005-05,3.48,52
ANGE,-103.576,42.69,4157,2005-06,6.87,64.4
ANGE,-103.576,42.69,4157,2005-07,3.02,72.9
ANGE,-103.576,42.69,4157,2005-08,2.07,68.5
ANGE,-103.576,42.69,4157,2005-09,1.11,62.8
ANGE,-103.576,42.69,4157,2005-10,1.31,49.3
ANGE,-103.576,42.69,4157,2005-11,0.04,39.7
ANGE,-103.576,42.69,4157,2005-12,0.11,24.5
ANGE,-103.576,42.69,4157,2006-01,0.15,35.2
ANGE,-103.576,42.69,4157,2006-02,0.61,24.5
ANGE,-103.576,42.69,4157,2006-03,2.47,33.8
ANGE,-103.576,42.69,4157,2006-04,1.4,49.2
ANGE,-103.576,42.69,4157,2006-05,1.58,55.8
ANGE,-103.576,42.69,4157,2006-06,1.91,68.6
ANGE,-103.576,42.69,4157,2006-07,0.94,76.3
ANGE,-103.576,42.69,4157,2006-08,2.09,70.9
ANGE,-103.576,42.69,4157,2006-09,1.81,55.8
ANGE,-103.576,42.69,4157,2006-10,0.47,45.4
ANGE,-103.576,42.69,4157,2006-11,0.2,35.7
ANGE,-103.576,42.69,4157,2006-12,0.58,29.6
ANGE,-103.576,42.69,4157,2007-01,0.12,22.8
ANGE,-103.576,42.69,4157,2007-02,0.12,24.7
ANGE,-103.576,42.69,4157,2007-03,1.26,43.5
ANGE,-103.576,42.69,4157,2007-04,2.12,42.2
ANGE,-103.576,42.69,4157,2007-05,2.09,57.3
ANGE,-103.576,42.69,4157,2007-06,1.36,67.1
ANGE,-103.576,42.69,4157,2007-07,1.61,76.4
ANGE,-103.576,42.69,4157,2007-08,1.69,73.5
ANGE,-103.576,42.69,4157,2007-09,0.76,62.6
ANGE,-103.576,42.69,4157,2007-10,1.77,50.1
ANGE,-103.576,42.69,4157,2007-11,0.05,37.6
ANGE,-103.576,42.69,4157,2007-12,0.87,20.4
ANGE,-103.576,42.69,4157,2008-01,0.06,20.3
ANGE,-103.576,42.69,4157,2008-02,0.34,26.4
ANGE,-103.576,42.69,4157,2008-03,1.53,35.3
ANGE,-103.576,42.69,4157,2008-04,1.53,41.9
ANGE,-103.576,42.69,4157,2008-05,4.82,51.9
ANGE,-103.576,42.69,4157,2008-06,2.68,62
ANGE,-103.576,42.69,4157,2008-07,2.69,73
ANGE,-103.576,42.69,4157,2008-08,1.8,69.9
ANGE,-103.576,42.69,4157,2008-09,2.16,58.6
ANGE,-103.576,42.69,4157,2008-10,0.9,46.1
ANGE,-103.576,42.69,4157,2008-11,0.31,39.1
ANGE,-103.576,42.69,4157,2008-12,0.22,20.7
ANGE,-103.576,42.69,4157,2009-01,0.6,26.5
ANGE,-103.576,42.69,4157,2009-02,0.1,30.9
ANGE,-103.576,42.69,4157,2009-03,1.79,34.9
ANGE,-103.576,42.69,4157,2009-04,3.97,40.8
ANGE,-103.576,42.69,4157,2009-05,1.7,54.7
ANGE,-103.576,42.69,4157,2009-06,5.47,61.3
ANGE,-103.576,42.69,4157,2009-07,3.8,67.9
ANGE,-103.576,42.69,4157,2009-08,2.42,66.7
ANGE,-103.576,42.69,4157,2009-09,0.91,61
ANGE,-103.576,42.69,4157,2009-10,3.69,38.5
ANGE,-103.576,42.69,4157,2009-11,0.1,39.6
ANGE,-103.576,42.69,4157,2009-12,0.77,17
ANGE,-103.576,42.69,4157,2010-01,0.02,24.9
ANGE,-103.576,42.69,4157,2010-02,0.63,21.9
ANGE,-103.576,42.69,4157,2010-03,0.76,38.4
ANGE,-103.576,42.69,4157,2010-04,4.33,45.4
ANGE,-103.576,42.69,4157,2010-05,4.7,50.8
ANGE,-103.576,42.69,4157,2010-06,5.76,64.2
ANGE,-103.576,42.69,4157,2010-07,2.75,70.6
ANGE,-103.576,42.69,4157,2010-08,1.04,72.4
ANGE,-103.576,42.69,4157,2010-09,0.52,61
ANGE,-103.576,42.69,4157,2010-10,1.35,51.9
ANGE,-103.576,42.69,4157,2010-11,0.38,32.3
ANGE,-103.576,42.69,4157,2010-12,0.58,28.2
ANGE,-103.576,42.69,4157,2011-01,0.64,22.8
ANGE,-103.576,42.69,4157,2011-02,0.54,20.6
ANGE,-103.576,42.69,4157,2011-03,0.92,36.4
ANGE,-103.576,42.69,4157,2011-04,1.91,43.6
ANGE,-103.576,42.69,4157,2011-05,6.9,49.1
ANGE,-103.576,42.69,4157,2011-06,3.1,63.8
ANGE,-103.576,42.69,4157,2011-07,2.6,75.1
ANGE,-103.576,42.69,4157,2011-08,2.02,73.6
ANGE,-103.576,42.69,4157,2011-09,0.79,61
ANGE,-103.576,42.69,4157,2011-10,2.16,49.5
ANGE,-103.576,42.69,4157,2011-11,0.43,34.2
ANGE,-103.576,42.69,4157,2011-12,0.37,25.6
ANGE,-103.576,42.69,4157,2012-01,0.49,27.7
ANGE,-103.576,42.69,4157,2012-02,0.34,27.1
ANGE,-103.576,42.69,4157,2012-03,0,46.4
ANGE,-103.576,42.69,4157,2012-04,1.3,50.3
ANGE,-103.576,42.69,4157,2012-05,1.82,56.2
ANGE,-103.576,42.69,4157,2012-06,1.93,70.6
ANGE,-103.576,42.69,4157,2012-07,1.07,77.5
ANGE,-103.576,42.69,4157,2012-08,0.15,72
ANGE,-103.576,42.69,4157,2012-09,0.17,63.3
ANGE,-103.576,42.69,4157,2012-10,0.84,45.5
ANGE,-103.576,42.69,4157,2012-11,0.35,39.5
ANGE,-103.576,42.69,4157,2012-12,0.14,27.6
ANGE,-103.576,42.69,4157,2013-01,0.16,25
ANGE,-103.576,42.69,4157,2013-02,0.28,28.4
ANGE,-103.576,42.69,4157,2013-03,0.47,35
ANGE,-103.576,42.69,4157,2013-04,3.3,37.4
ANGE,-103.576,42.69,4157,2013-05,1.81,54.7
ANGE,-103.576,42.69,4157,2013-06,2.57,65.2
ANGE,-103.576,42.69,4157,2013-07,2.09,71.9
ANGE,-103.576,42.69,4157,2013-08,1.31,72.9
ANGE,-103.576,42.69,4157,2013-09,1.88,64.7
ANGE,-103.576,42.69,4157,2013-10,4.6,43.4
ANGE,-103.576,42.69,4157,2013-11,0.44,34
ANGE,-103.576,42.69,4157,2013-12,0.42,20.5
ANGE,-103.576,42.69,4157,2014-01,0.19,28.2
ANGE,-103.576,42.69,4157,2014-02,0.8,18
ANGE,-103.576,42.69,4157,2014-03,1.24,34.5
ANGE,-103.576,42.69,4157,2014-04,2.07,44.4
ANGE,-103.576,42.69,4157,2014-05,3.45,53.9
ANGE,-103.576,42.69,4157,2014-06,3.16,61.9
ANGE,-103.576,42.69,4157,2014-07,0.82,69.9
ANGE,-103.576,42.69,4157,2014-08,3.27,69.3
ANGE,-103.576,42.69,4157,2014-09,5.32,60
ANGE,-103.576,42.69,4157,2014-10,0.4,51
ANGE,-103.576,42.69,4157,2014-11,0.55,30.4
ANGE,-103.576,42.69,4157,2014-12,0.64,27.9
ANGE,-103.576,42.69,4157,2015-01,0.15,26.8
ANGE,-103.576,42.69,4157,2015-02,0.49,29.8
ANGE,-103.576,42.69,4157,2015-03,0.31,40.9
ANGE,-103.576,42.69,4157,2015-04,2.19,45.5
ANGE,-103.576,42.69,4157,2015-05,9.77,50.2
ANGE,-103.576,42.69,4157,2015-06,5.07,66.8
ANGE,-103.576,42.69,4157,2015-07,3.23,69.5
ANGE,-103.576,42.69,4157,2015-08,1.36,69.6
ANGE,-103.576,42.69,4157,2015-09,0.39,64.9
ANGE,-103.576,42.69,4157,2015-10,1.33,52
ANGE,-103.576,42.69,4157,2015-11,0.79,35
ANGE,-103.576,42.69,4157,2015-12,1.26,26
ANGE,-103.576,42.69,4157,2016-01,0.11,26.4
ANGE,-103.576,42.69,4157,2016-02,0.52,35
ANGE,-103.576,42.69,4157,2016-03,2.72,40.2
ANGE,-103.576,42.69,4157,2016-04,3.6,45.4
ANGE,-103.576,42.69,4157,2016-05,2.43,51.8
ANGE,-103.576,42.69,4157,2016-06,1.31,70.5
ANGE,-103.576,42.69,4157,2016-07,2.21,72.7
ANGE,-103.576,42.69,4157,2016-08,3,68.8
ANGE,-103.576,42.69,4157,2016-09,1.45,62
ANGE,-103.576,42.69,4157,2016-10,0.35,53.3
ANGE,-103.576,42.69,4157,2016-11,0.49,43.5
ANGE,-103.576,42.69,4157,2016-12,1.14,18.6
ANGE,-103.576,42.69,4157,2017-01,1.14,22.7
ANGE,-103.576,42.69,4157,2017-02,1.79,32.1
ANGE,-103.576,42.69,4157,2017-03,1.75,42
ANGE,-103.576,42.69,4157,2017-04,2.86,45.3
ANGE,-103.576,42.69,4157,2017-05,4.4,53.2
ANGE,-103.576,42.69,4157,2017-06,1.7,65.5
ANGE,-103.576,42.69,4157,2017-07,1.65,75.3
ANGE,-103.576,42.69,4157,2017-08,1.64,67.8
ANGE,-103.576,42.69,4157,2017-09,1.18,61.1
ANGE,-103.576,42.69,4157,2017-10,0.48,46.8
ANGE,-103.576,42.69,4157,2017-11,0.44,39.4
ANGE,-103.576,42.69,4157,2017-12,0.65,25.2
ANGE,-103.576,42.69,4157,2018-01,0.56,23.9
ANGE,-103.576,42.69,4157,2018-02,1.08,19.7
ANGE,-103.576,42.69,4157,2018-03,1.33,36.1
ANGE,-103.576,42.69,4157,2018-04,2.05,40.5
ANGE,-103.576,42.69,4157,2018-05,7.79,58.4
ANGE,-103.576,42.69,4157,2018-06,3.53,66.6
ANGE,-103.576,42.69,4157,2018-07,4.45,70.9
ANGE,-103.576,42.69,4157,2018-08,1.06,67.9
ANGE,-103.576,42.69,4157,2018-09,1.51,62.1
ANGE,-103.576,42.69,4157,2018-10,0.86,44.4
ANGE,-103.576,42.69,4157,2018-11,0.77,32.4
ANGE,-103.576,42.69,4157,2018-12,0.58,27.3
ANGE,-103.576,42.69,4157,2019-01,0.46,27.3
ANGE,-103.576,42.69,4157,2019-02,0.46,14.9
ANGE,-103.576,42.69,4157,2019-03,2.9,27.8
ANGE,-103.576,42.69,4157,2019-04,2.35,44.8
ANGE,-103.576,42.69,4157,2019-05,5.13,46.7
ANGE,-103.576,42.69,4157,2019-06,2.96,62.5
ANGE,-103.576,42.69,4157,2019-07,3.23,70.4
ANGE,-103.576,42.69,4157,2019-08,3.06,69.3
ANGE,-103.576,42.69,4157,2019-09,2.1,63.4
ANGE,-103.576,42.69,4157,2019-10,1.65,38.3
ANGE,-103.576,42.69,4157,2019-11,1,32.4
ANGE,-103.576,42.69,4157,2019-12,1.3,28.1
ANGE,-103.576,42.69,4157,2020-01,0.33,28.8
,,,,,,
ANGE,-103.097,42.6397,4321,2005-02,0.06,37
ANGE,-103.097,42.6397,4321,2005-03,0.88,38.5
ANGE,-103.097,42.6397,4321,2005-04,2.84,46.2
ANGE,-103.097,42.6397,4321,2005-05,3.86,53.6
ANGE,-103.097,42.6397,4321,2005-06,8.23,66.3
ANGE,-103.097,42.6397,4321,2005-07,2.11,74.5
ANGE,-103.097,42.6397,4321,2005-08,2.01,70.9
ANGE,-103.097,42.6397,4321,2005-09,0.62,66
ANGE,-103.097,42.6397,4321,2005-10,1.2,51.4
ANGE,-103.097,42.6397,4321,2005-11,0.11,43
ANGE,-103.097,42.6397,4321,2005-12,0.11,27.9
ANGE,-103.097,42.6397,4321,2006-01,0.32,39
ANGE,-103.097,42.6397,4321,2006-02,0.58,27.8
ANGE,-103.097,42.6397,4321,2006-03,2.13,36.2
ANGE,-103.097,42.6397,4321,2006-04,1.23,51
ANGE,-103.097,42.6397,4321,2006-05,1.28,58
ANGE,-103.097,42.6397,4321,2006-06,2.41,70.5
ANGE,-103.097,42.6397,4321,2006-07,1.08,78.3
ANGE,-103.097,42.6397,4321,2006-08,2.54,72.4
ANGE,-103.097,42.6397,4321,2006-09,3.04,58
ANGE,-103.097,42.6397,4321,2006-10,0.35,47
ANGE,-103.097,42.6397,4321,2006-11,0.2,39.1
ANGE,-103.097,42.6397,4321,2006-12,0.57,34.1
ANGE,-103.097,42.6397,4321,2007-01,0.17,26.3
ANGE,-103.097,42.6397,4321,2007-02,0.24,25.9
ANGE,-103.097,42.6397,4321,2007-03,1.33,44.2
ANGE,-103.097,42.6397,4321,2007-04,2.15,42.8
ANGE,-103.097,42.6397,4321,2007-05,1.84,59.1
ANGE,-103.097,42.6397,4321,2007-06,1.37,68.5
ANGE,-103.097,42.6397,4321,2007-07,1.46,78.1
ANGE,-103.097,42.6397,4321,2007-08,1.17,75.8
ANGE,-103.097,42.6397,4321,2007-09,0.75,64.7
ANGE,-103.097,42.6397,4321,2007-10,1.65,51.8
ANGE,-103.097,42.6397,4321,2007-11,0.04,42.1
ANGE,-103.097,42.6397,4321,2007-12,1.05,26.2
ANGE,-103.097,42.6397,4321,2008-01,0.14,24.9
ANGE,-103.097,42.6397,4321,2008-02,0.45,28.6
ANGE,-103.097,42.6397,4321,2008-03,0.97,36.9
ANGE,-103.097,42.6397,4321,2008-04,1.52,43.4
ANGE,-103.097,42.6397,4321,2008-05,3.99,53.1
ANGE,-103.097,42.6397,4321,2008-06,2.95,63.9
ANGE,-103.097,42.6397,4321,2008-07,3.51,74.9
ANGE,-103.097,42.6397,4321,2008-08,1.75,71.5
ANGE,-103.097,42.6397,4321,2008-09,2.43,60.1
ANGE,-103.097,42.6397,4321,2008-10,0.98,48.9
ANGE,-103.097,42.6397,4321,2008-11,0.98,41.5
ANGE,-103.097,42.6397,4321,2008-12,0.16,23.4
ANGE,-103.097,42.6397,4321,2009-01,0.65,29.4
ANGE,-103.097,42.6397,4321,2009-02,0.34,33.7
ANGE,-103.097,42.6397,4321,2009-03,1.51,36.4
ANGE,-103.097,42.6397,4321,2009-04,3.54,41.9
ANGE,-103.097,42.6397,4321,2009-05,1.27,54.9
ANGE,-103.097,42.6397,4321,2009-06,4.94,62.9
ANGE,-103.097,42.6397,4321,2009-07,3.61,70.1
ANGE,-103.097,42.6397,4321,2009-08,2.65,69.1
ANGE,-103.097,42.6397,4321,2009-09,0.87,63.2
ANGE,-103.097,42.6397,4321,2009-10,3.4,39.5
ANGE,-103.097,42.6397,4321,2009-11,0.28,43.1
ANGE,-103.097,42.6397,4321,2009-12,0.92,19.6
ANGE,-103.097,42.6397,4321,2010-01,0.06,28.3
ANGE,-103.097,42.6397,4321,2010-02,0.65,24.9
ANGE,-103.097,42.6397,4321,2010-03,0.77,38.4
ANGE,-103.097,42.6397,4321,2010-04,4.04,46.8
ANGE,-103.097,42.6397,4321,2010-05,3.1,52.2
ANGE,-103.097,42.6397,4321,2010-06,5.95,65.5
ANGE,-103.097,42.6397,4321,2010-07,3.04,72.5
ANGE,-103.097,42.6397,4321,2010-08,0.78,74.6
ANGE,-103.097,42.6397,4321,2010-09,1.24,62.9
ANGE,-103.097,42.6397,4321,2010-10,1.18,54
ANGE,-103.097,42.6397,4321,2010-11,0.53,35.9
ANGE,-103.097,42.6397,4321,2010-12,0.54,30.9
ANGE,-103.097,42.6397,4321,2011-01,0.67,24.9
ANGE,-103.097,42.6397,4321,2011-02,0.65,23.3
ANGE,-103.097,42.6397,4321,2011-03,0.76,36.8
ANGE,-103.097,42.6397,4321,2011-04,2.47,44
ANGE,-103.097,42.6397,4321,2011-05,7.99,50.4
ANGE,-103.097,42.6397,4321,2011-06,4.1,64.7
ANGE,-103.097,42.6397,4321,2011-07,1.75,76.2
ANGE,-103.097,42.6397,4321,2011-08,2.33,74.6
ANGE,-103.097,42.6397,4321,2011-09,0.86,62.6
ANGE,-103.097,42.6397,4321,2011-10,1.67,52.2
ANGE,-103.097,42.6397,4321,2011-11,0.46,38.6
ANGE,-103.097,42.6397,4321,2011-12,0.21,30.6
ANGE,-103.097,42.6397,4321,2012-01,0.65,31.6
ANGE,-103.097,42.6397,4321,2012-02,0.65,30.1
ANGE,-103.097,42.6397,4321,2012-03,0,47.3
