PRISM Time Series Data
Locations: 57
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2023-01-01 - 2023-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-21
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
ANGE,-103.9920,40.7939,5177,2023-01-19,0.10,12.5,20.0,27.5
ANGE,-103.9920,40.7939,5177,2023-01-20,0.00,3.6,15.3,26.9
ANGE,-103.9920,40.7939,5177,2023-01-21,0.00,5.1,15.9,26.7
ANGE,-103.9920,40.7939,5177,2023-01-22,0.00,18.3,22.4,26.6
ANGE,-103.9920,40.7939,5177,2023-01-23,0.00,15.5,23.3,31.2
ANGE,-103.9920,40.7939,5177,2023-01-24,0.00,13.2,21.3,29.4
ANGE,-103.9920,40.7939,5177,2023-01-25,0.00,14.4,21.3,28.3
ANGE,-103.9920,40.7939,5177,2023-01-26,0.00,16.5,21.9,27.2
ANGE,-103.9920,40.7939,5177,2023-01-27,0.00,16.7,24.0,31.3
ANGE,-103.9920,40.7939,5177,2023-01-28,0.00,19.2,26.4,33.6
ANGE,-103.9920,40.7939,5177,2023-01-29,0.05,-2.2,10.6,23.3
ANGE,-103.9920,40.7939,5177,2023-01-30,0.03,-6.3,-3.2,-0.1
ANGE,-103.9920,40.7939,5177,2023-01-31,0.00,-8.6,-3.8,1.1
ANGE,-103.9920,40.7939,5177,2023-02-01,0.00,-8.0,5.3,18.5
ANGE,-103.9920,40.7939,5177,2023-02-02,0.00,7.0,19.3,31.7
ANGE,-103.9920,40.7939,5177,2023-02-03,0.00,12.9,23.8,34.7
ANGE,-103.9920,40.7939,5177,2023-02-04,0.00,19.4,30.8,42.2
ANGE,-103.9920,40.7939,5177,2023-02-05,0.00,22.6,32.5,42.4
ANGE,-103.9920,40.7939,5177,2023-02-06,0.00,18.7,27.6,36.6
ANGE,-103.9920,40.7939,5177,2023-02-07,0.00,17.9,26.6,35.2
ANGE,-103.9920,40.7939,5177,2023-02-08,0.00,13.8,26.0,38.3
ANGE,-103.9920,40.7939,5177,2023-02-09,0.00,16.3,28.1,39.9
ANGE,-103.9920,40.7939,5177,2023-02-10,0.00,7.0,17.0,26.9
ANGE,-103.9920,40.7939,5177,2023-02-11,0.00,7.0,20.8,34.6
ANGE,-103.9920,40.7939,5177,2023-02-12,0.00,14.6,31.1,47.6
ANGE,-103.9920,40.7939,5177,2023-02-13,0.00,20.6,30.8,41.0
ANGE,-103.9920,40.7939,5177,2023-02-14,0.00,21.4,34.4,47.4
ANGE,-103.9920,40.7939,5177,2023-02-15,0.02,12.8,24.7,36.6
ANGE,-103.9920,40.7939,5177,2023-02-16,0.06,6.8,9.9,13.0
ANGE,-103.9920,40.7939,5177,2023-02-17,0.00,2.6,13.6,24.7
ANGE,-103.9920,40.7939,5177,2023-02-18,0.00,9.8,26.9,44.0
ANGE,-103.9920,40.7939,5177,2023-02-19,0.00,20.6,31.1,41.5
ANGE,-103.9920,40.7939,5177,2023-02-20,0.00,22.8,31.6,40.4
ANGE,-103.9920,40.7939,5177,2023-02-21,0.00,25.2,36.0,46.8
ANGE,-103.9920,40.7939,5177,2023-02-22,0.10,3.2,25.5,47.8
ANGE,-103.9920,40.7939,5177,2023-02-23,0.04,-12.8,-5.3,2.2
ANGE,-103.9920,40.7939,5177,2023-02-24,0.00,-11.6,-3.8,4.1
ANGE,-103.9920,40.7939,5177,2023-02-25,0.00,-3.1,12.4,27.9
ANGE,-103.9920,40.7939,5177,2023-02-26,0.00,16.1,31.2,46.3
ANGE,-103.9920,40.7939,5177,2023-02-27,0.00,25.3,35.8,46.3
ANGE,-103.9920,40.7939,5177,2023-02-28,0.00,25.8,36.3,46.9
ANGE,-103.9920,40.7939,5177,2023-03-01,0.00,18.5,32.2,45.9
ANGE,-103.9920,40.7939,5177,2023-03-02,0.00,18.5,25.4,32.2
ANGE,-103.9920,40.7939,5177,2023-03-03,0.00,18.1,29.9,41.7
ANGE,-103.9920,40.7939,5177,2023-03-04,0.04,16.7,29.1,41.5
ANGE,-103.9920,40.7939,5177,2023-03-05,0.00,16.8,25.7,34.7
ANGE,-103.9920,40.7939,5177,2023-03-06,0.00,20.9,35.4,49.9
ANGE,-103.9920,40.7939,5177,2023-03-07,0.00,20.9,27.8,34.7
ANGE,-103.9920,40.7939,5177,2023-03-08,0.00,21.8,26.3,30.9
ANGE,-103.9920,40.7939,5177,2023-03-09,0.00,22.9,25.7,28.6
ANGE,-103.9920,40.7939,5177,2023-03-10,0.00,23.5,33.6,43.8
ANGE,-103.9920,40.7939,5177,2023-03-11,0.00,25.0,34.3,43.5
ANGE,-103.9920,40.7939,5177,2023-03-12,0.00,16.8,31.8,46.7
ANGE,-103.9920,40.7939,5177,2023-03-13,0.00,17.0,26.7,36.5
ANGE,-103.9920,40.7939,5177,2023-03-14,0.00,19.4,34.2,49.0
ANGE,-103.9920,40.7939,5177,2023-03-15,0.00,28.8,43.8,58.9
ANGE,-103.9920,40.7939,5177,2023-03-16,0.12,22.9,44.8,66.7
ANGE,-103.9920,40.7939,5177,2023-03-17,0.00,16.1,24.4,32.8
ANGE,-103.9920,40.7939,5177,2023-03-18,0.00,13.7,25.1,36.6
ANGE,-103.9920,40.7939,5177,2023-03-19,0.00,13.8,26.0,38.2
ANGE,-103.9920,40.7939,5177,2023-03-20,0.00,15.5,34.0,52.5
ANGE,-103.9920,40.7939,5177,2023-03-21,0.00,24.4,37.8,51.1
ANGE,-103.9920,40.7939,5177,2023-03-22,0.00,24.3,39.3,54.2
ANGE,-103.9920,40.7939,5177,2023-03-23,0.18,24.1,31.9,39.8
ANGE,-103.9920,40.7939,5177,2023-03-24,0.02,22.1,34.3,46.6
ANGE,-103.9920,40.7939,5177,2023-03-25,0.03,22.6,35.9,49.1
ANGE,-103.9920,40.7939,5177,2023-03-26,0.01,16.9,24.8,32.7
ANGE,-103.9920,40.7939,5177,2023-03-27,0.12,15.6,27.6,39.6
ANGE,-103.9920,40.7939,5177,2023-03-28,0.19,4.8,16.3,27.8
ANGE,-103.9920,40.7939,5177,2023-03-29,0.00,7.3,22.5,37.7
ANGE,-103.9920,40.7939,5177,2023-03-30,0.00,19.8,25.2,30.7
ANGE,-103.9920,40.7939,5177,2023-03-31,0.00,21.0,40.0,58.9
ANGE,-103.9920,40.7939,5177,2023-04-01,0.00,26.9,36.7,46.5
ANGE,-103.9920,40.7939,5177,2023-04-02,0.00,27.3,43.6,60.0
ANGE,-103.9920,40.7939,5177,2023-04-03,0.00,26.7,43.7,60.7
ANGE,-103.9920,40.7939,5177,2023-04-04,0.08,22.4,36.9,51.5
ANGE,-103.9920,40.7939,5177,2023-04-05,0.06,12.1,18.9,25.7
ANGE,-103.9920,40.7939,5177,2023-04-06,0.00,13.8,25.3,36.8
ANGE,-103.9920,40.7939,5177,2023-04-07,0.00,19.3,33.4,47.4
ANGE,-103.9920,40.7939,5177,2023-04-08,0.00,21.2,42.2,63.2
ANGE,-103.9920,40.7939,5177,2023-04-09,0.00,31.0,49.2,67.3
ANGE,-103.9920,40.7939,5177,2023-04-10,0.00,26.8,46.2,65.5
ANGE,-103.9920,40.7939,5177,2023-04-11,0.00,31.9,51.9,71.9
ANGE,-103.9920,40.7939,5177,2023-04-12,0.00,36.6,59.4,82.1
ANGE,-103.9920,40.7939,5177,2023-04-13,0.00,40.4,61.2,82.0
ANGE,-103.9920,40.7939,5177,2023-04-14,0.00,35.8,56.0,76.3
ANGE,-103.9920,40.7939,5177,2023-04-15,0.23,24.7,31.0,37.4
ANGE,-103.9920,40.7939,5177,2023-04-16,0.00,22.3,34.0,45.6
ANGE,-103.9920,40.7939,5177,2023-04-17,0.00,23.9,41.6,59.2
ANGE,-103.9920,40.7939,5177,2023-04-18,0.00,29.1,50.0,70.9
ANGE,-103.9920,40.7939,5177,2023-04-19,0.00,32.0,52.6,73.2
ANGE,-103.9920,40.7939,5177,2023-04-20,0.11,21.1,38.7,56.3
ANGE,-103.9920,40.7939,5177,2023-04-21,0.00,22.9,35.1,47.3
ANGE,-103.9920,40.7939,5177,2023-04-22,0.01,18.4,32.1,45.7
ANGE,-103.9920,40.7939,5177,2023-04-23,0.00,16.5,28.8,41.1
ANGE,-103.9920,40.7939,5177,2023-04-24,0.00,20.8,37.1,53.5
ANGE,-103.9920,40.7939,5177,2023-04-25,0.01,32.2,47.4,62.6
ANGE,-103.9920,40.7939,5177,2023-04-26,0.69,38.0,41.9,45.9
ANGE,-103.9920,40.7939,5177,2023-04-27,0.00,38.8,47.2,55.6
ANGE,-103.9920,40.7939,5177,2023-04-28,0.05,34.2,49.4,64.6
ANGE,-103.9920,40.7939,5177,2023-04-29,0.00,32.8,43.5,54.1
ANGE,-103.9920,40.7939,5177,2023-04-30,0.00,30.5,49.6,68.6
ANGE,-103.9920,40.7939,5177,2023-05-01,0.00,32.7,48.1,63.4
ANGE,-103.9920,40.7939,5177,2023-05-02,0.00,33.9,49.8,65.7
ANGE,-103.9920,40.7939,5177,2023-05-03,0.00,36.4,52.3,68.2
ANGE,-103.9920,40.7939,5177,2023-05-04,0.00,40.8,59.0,77.3
ANGE,-103.9920,40.7939,5177,2023-05-05,0.02,42.1,58.4,74.7
ANGE,-103.9920,40.7939,5177,2023-05-06,0.01,35.2,54.2,73.1
ANGE,-103.9920,40.7939,5177,2023-05-07,0.00,41.2,55.5,69.7
ANGE,-103.9920,40.7939,5177,2023-05-08,0.16,41.0,53.2,65.5
ANGE,-103.9920,40.7939,5177,2023-05-09,0.01,43.2,57.0,70.8
ANGE,-103.9920,40.7939,5177,2023-05-10,0.53,45.5,58.6,71.7
ANGE,-103.9920,40.7939,5177,2023-05-11,0.81,47.4,56.2,65.0
ANGE,-103.9920,40.7939,5177,2023-05-12,1.67,46.7,49.5,52.4
ANGE,-103.9920,40.7939,5177,2023-05-13,0.10,46.2,50.0,53.8
ANGE,-103.9920,40.7939,5177,2023-05-14,0.09,46.8,51.6,56.3
ANGE,-103.9920,40.7939,5177,2023-05-15,0.07,46.4,50.5,54.6
ANGE,-103.9920,40.7939,5177,2023-05-16,0.00,44.1,52.0,59.8
ANGE,-103.9920,40.7939,5177,2023-05-17,0.00,46.1,60.2,74.4
ANGE,-103.9920,40.7939,5177,2023-05-18,0.21,48.5,61.2,73.8
ANGE,-103.9920,40.7939,5177,2023-05-19,0.28,45.8,54.4,63.1
ANGE,-103.9920,40.7939,5177,2023-05-20,0.00,43.0,51.4,59.8
ANGE,-103.9920,40.7939,5177,2023-05-21,0.00,43.8,56.3,68.7
ANGE,-103.9920,40.7939,5177,2023-05-22,0.00,48.5,61.0,73.6
ANGE,-103.9920,40.7939,5177,2023-05-23,0.00,49.7,61.5,73.3
ANGE,-103.9920,40.7939,5177,2023-05-24,0.00,51.2,62.3,73.4
ANGE,-103.9920,40.7939,5177,2023-05-25,0.13,49.1,60.4,71.8
ANGE,-103.9920,40.7939,5177,2023-05-26,0.01,51.3,61.5,71.6
ANGE,-103.9920,40.7939,5177,2023-05-27,0.33,49.8,60.9,72.0
ANGE,-103.9920,40.7939,5177,2023-05-28,0.67,46.6,60.3,73.9
ANGE,-103.9920,40.7939,5177,2023-05-29,0.08,50.8,60.6,70.5
ANGE,-103.9920,40.7939,5177,2023-05-30,0.02,48.9,62.4,76.0
ANGE,-103.9920,40.7939,5177,2023-05-31,0.00,50.1,63.8,77.5
ANGE,-103.9920,40.7939,5177,2023-06-01,0.28,50.6,63.5,76.3
ANGE,-103.9920,40.7939,5177,2023-06-02,0.36,48.4,58.5,68.6
ANGE,-103.9920,40.7939,5177,2023-06-03,0.11,50.7,60.3,69.9
ANGE,-103.9920,40.7939,5177,2023-06-04,0.28,54.0,57.8,61.5
ANGE,-103.9920,40.7939,5177,2023-06-05,0.17,49.0,57.9,66.7
ANGE,-103.9920,40.7939,5177,2023-06-06,0.02,49.8,60.0,70.3
ANGE,-103.9920,40.7939,5177,2023-06-07,0.00,52.3,63.4,74.5
ANGE,-103.9920,40.7939,5177,2023-06-08,0.13,53.4,64.7,76.0
ANGE,-103.9920,40.7939,5177,2023-06-09,0.01,52.9,64.5,76.1
ANGE,-103.9920,40.7939,5177,2023-06-10,0.02,48.4,63.4,78.4
ANGE,-103.9920,40.7939,5177,2023-06-11,0.19,50.3,61.8,73.3
ANGE,-103.9920,40.7939,5177,2023-06-12,0.05,52.9,58.7,64.4
ANGE,-103.9920,40.7939,5177,2023-06-13,0.87,49.5,54.9,60.4
ANGE,-103.9920,40.7939,5177,2023-06-14,0.02,47.8,56.8,65.8
ANGE,-103.9920,40.7939,5177,2023-06-15,0.04,51.1,62.2,73.2
ANGE,-103.9920,40.7939,5177,2023-06-16,0.39,53.2,63.0,72.8
ANGE,-103.9920,40.7939,5177,2023-06-17,0.08,48.2,54.9,61.6
ANGE,-103.9920,40.7939,5177,2023-06-18,0.04,49.9,59.4,68.8
ANGE,-103.9920,40.7939,5177,2023-06-19,0.00,54.0,67.0,80.1
ANGE,-103.9920,40.7939,5177,2023-06-20,0.00,54.5,69.5,84.5
ANGE,-103.9920,40.7939,5177,2023-06-21,0.00,58.9,70.8,82.7
ANGE,-103.9920,40.7939,5177,2023-06-22,0.26,56.3,66.7,77.1
ANGE,-103.9920,40.7939,5177,2023-06-23,0.08,56.7,65.2,73.6
ANGE,-103.9920,40.7939,5177,2023-06-24,0.00,48.0,62.4,76.7
ANGE,-103.9920,40.7939,5177,2023-06-25,0.00,46.1,62.3,78.6
ANGE,-103.9920,40.7939,5177,2023-06-26,0.00,50.6,62.9,75.1
ANGE,-103.9920,40.7939,5177,2023-06-27,0.00,56.3,68.6,80.9
ANGE,-103.9920,40.7939,5177,2023-06-28,0.00,54.7,72.2,89.7
ANGE,-103.9920,40.7939,5177,2023-06-29,0.05,53.3,67.0,80.8
ANGE,-103.9920,40.7939,5177,2023-06-30,0.04,51.1,64.2,77.3
ANGE,-103.9920,40.7939,5177,2023-07-01,0.11,47.8,57.9,68.0
ANGE,-103.9920,40.7939,5177,2023-07-02,0.00,51.7,65.2,78.7
ANGE,-103.9920,40.7939,5177,2023-07-03,0.00,53.5,68.7,83.9
ANGE,-103.9920,40.7939,5177,2023-07-04,0.23,56.8,72.9,89.0
ANGE,-103.9920,40.7939,5177,2023-07-05,0.57,50.8,62.5,74.3
ANGE,-103.9920,40.7939,5177,2023-07-06,0.11,50.8,53.0,55.3
ANGE,-103.9920,40.7939,5177,2023-07-07,0.01,50.6,61.2,71.8
ANGE,-103.9920,40.7939,5177,2023-07-08,0.07,53.1,62.4,71.6
ANGE,-103.9920,40.7939,5177,2023-07-09,0.69,52.0,61.3,70.7
ANGE,-103.9920,40.7939,5177,2023-07-10,0.00,54.8,66.0,77.2
ANGE,-103.9920,40.7939,5177,2023-07-11,0.00,59.8,74.5,89.2
ANGE,-103.9920,40.7939,5177,2023-07-12,0.00,59.3,75.1,91.0
ANGE,-103.9920,40.7939,5177,2023-07-13,0.00,58.2,72.5,86.8
ANGE,-103.9920,40.7939,5177,2023-07-14,0.28,58.2,72.6,87.0
ANGE,-103.9920,40.7939,5177,2023-07-15,0.08,57.5,68.3,79.2
ANGE,-103.9920,40.7939,5177,2023-07-16,0.01,56.2,68.2,80.3
ANGE,-103.9920,40.7939,5177,2023-07-17,0.00,54.9,69.6,84.2
ANGE,-103.9920,40.7939,5177,2023-07-18,0.00,59.0,75.5,92.0
ANGE,-103.9920,40.7939,5177,2023-07-19,0.00,64.3,78.2,92.0
ANGE,-103.9920,40.7939,5177,2023-07-20,0.03,58.8,70.2,81.5
ANGE,-103.9920,40.7939,5177,2023-07-21,0.87,51.4,61.2,70.9
ANGE,-103.9920,40.7939,5177,2023-07-22,0.02,53.4,66.8,80.2
ANGE,-103.9920,40.7939,5177,2023-07-23,0.00,58.4,72.7,86.9
ANGE,-103.9920,40.7939,5177,2023-07-24,0.00,60.1,76.5,93.0
ANGE,-103.9920,40.7939,5177,2023-07-25,0.01,60.3,77.7,95.0
ANGE,-103.9920,40.7939,5177,2023-07-26,0.00,61.2,78.1,95.0
ANGE,-103.9920,40.7939,5177,2023-07-27,0.00,59.6,75.1,90.6
ANGE,-103.9920,40.7939,5177,2023-07-28,0.10,60.4,76.5,92.5
ANGE,-103.9920,40.7939,5177,2023-07-29,0.09,56.6,72.5,88.3
ANGE,-103.9920,40.7939,5177,2023-07-30,0.00,59.5,71.9,84.2
ANGE,-103.9920,40.7939,5177,2023-07-31,0.14,61.5,76.8,92.1
ANGE,-103.9920,40.7939,5177,2023-08-01,0.37,60.7,73.4,86.0
ANGE,-103.9920,40.7939,5177,2023-08-02,0.40,60.0,72.8,85.6
ANGE,-103.9920,40.7939,5177,2023-08-03,0.38,60.7,71.7,82.8
ANGE,-103.9920,40.7939,5177,2023-08-04,0.20,56.8,69.0,81.2
ANGE,-103.9920,40.7939,5177,2023-08-05,0.14,54.7,69.0,83.4
ANGE,-103.9920,40.7939,5177,2023-08-06,0.45,50.5,65.1,79.6
ANGE,-103.9920,40.7939,5177,2023-08-07,0.02,50.7,61.5,72.3
ANGE,-103.9920,40.7939,5177,2023-08-08,0.13,51.6,63.3,75.0
ANGE,-103.9920,40.7939,5177,2023-08-09,0.09,52.4,65.3,78.2
ANGE,-103.9920,40.7939,5177,2023-08-10,0.00,54.3,66.2,78.0
ANGE,-103.9920,40.7939,5177,2023-08-11,0.01,58.1,70.5,82.9
ANGE,-103.9920,40.7939,5177,2023-08-12,0.00,59.3,73.6,87.8
ANGE,-103.9920,40.7939,5177,2023-08-13,0.00,58.5,72.0,85.4
ANGE,-103.9920,40.7939,5177,2023-08-14,0.00,43.6,55.6,67.6
ANGE,-103.9920,40.7939,5177,2023-08-15,0.00,44.8,60.6,76.4
ANGE,-103.9920,40.7939,5177,2023-08-16,0.00,48.8,68.6,88.5
ANGE,-103.9920,40.7939,5177,2023-08-17,0.00,56.3,75.7,95.0
ANGE,-103.9920,40.7939,5177,2023-08-18,0.00,57.6,71.7,85.9
ANGE,-103.9920,40.7939,5177,2023-08-19,0.00,62.8,78.8,94.7
ANGE,-103.9920,40.7939,5177,2023-08-20,0.72,60.9,76.0,91.0
ANGE,-103.9920,40.7939,5177,2023-08-21,0.00,60.4,74.6,88.8
ANGE,-103.9920,40.7939,5177,2023-08-22,0.00,60.4,77.7,94.9
ANGE,-103.9920,40.7939,5177,2023-08-23,0.00,57.6,75.4,93.1
ANGE,-103.9920,40.7939,5177,2023-08-24,0.00,59.6,75.4,91.1
ANGE,-103.9920,40.7939,5177,2023-08-25,0.06,64.3,76.8,89.4
ANGE,-103.9920,40.7939,5177,2023-08-26,0.81,56.7,61.1,65.4
ANGE,-103.9920,40.7939,5177,2023-08-27,0.00,53.1,63.9,74.7
ANGE,-103.9920,40.7939,5177,2023-08-28,0.29,53.0,67.6,82.2
ANGE,-103.9920,40.7939,5177,2023-08-29,0.19,52.2,64.5,76.8
ANGE,-103.9920,40.7939,5177,2023-08-30,0.00,52.9,65.9,78.9
ANGE,-103.9920,40.7939,5177,2023-08-31,0.00,54.5,72.1,89.7
ANGE,-103.9920,40.7939,5177,2023-09-01,0.00,56.8,73.4,90.0
ANGE,-103.9920,40.7939,5177,2023-09-02,0.00,56.8,75.0,93.2
ANGE,-103.9920,40.7939,5177,2023-09-03,0.00,60.8,75.6,90.3
ANGE,-103.9920,40.7939,5177,2023-09-04,0.10,58.0,73.3,88.5
ANGE,-103.9920,40.7939,5177,2023-09-05,0.00,52.1,69.2,86.3
ANGE,-103.9920,40.7939,5177,2023-09-06,0.00,46.7,57.8,68.9
ANGE,-103.9920,40.7939,5177,2023-09-07,0.00,47.6,65.3,83.0
ANGE,-103.9920,40.7939,5177,2023-09-08,0.00,48.1,67.3,86.4
ANGE,-103.9920,40.7939,5177,2023-09-09,0.00,48.5,67.3,86.1
ANGE,-103.9920,40.7939,5177,2023-09-10,0.00,52.3,67.0,81.7
ANGE,-103.9920,40.7939,5177,2023-09-11,0.02,49.5,56.6,63.7
ANGE,-103.9920,40.7939,5177,2023-09-12,0.00,42.9,55.7,68.6
ANGE,-103.9920,40.7939,5177,2023-09-13,0.00,41.6,57.8,74.0
ANGE,-103.9920,40.7939,5177,2023-09-14,0.00,44.4,60.6,76.7
ANGE,-103.9920,40.7939,5177,2023-09-15,0.02,49.8,59.0,68.3
ANGE,-103.9920,40.7939,5177,2023-09-16,0.00,42.2,55.6,69.1
ANGE,-103.9920,40.7939,5177,2023-09-17,0.00,41.9,59.3,76.8
ANGE,-103.9920,40.7939,5177,2023-09-18,0.00,43.9,63.4,82.8
ANGE,-103.9920,40.7939,5177,2023-09-19,0.00,54.3,68.5,82.8
ANGE,-103.9920,40.7939,5177,2023-09-20,0.04,44.7,62.4,80.1
ANGE,-103.9920,40.7939,5177,2023-09-21,0.00,47.8,63.8,79.8
ANGE,-103.9920,40.7939,5177,2023-09-22,0.07,51.9,64.1,76.3
ANGE,-103.9920,40.7939,5177,2023-09-23,0.01,44.3,60.0,75.7
ANGE,-103.9920,40.7939,5177,2023-09-24,0.00,39.7,55.4,71.2
ANGE,-103.9920,40.7939,5177,2023-09-25,0.00,39.8,57.3,74.8
ANGE,-103.9920,40.7939,5177,2023-09-26,0.00,40.9,60.8,80.7
ANGE,-103.9920,40.7939,5177,2023-09-27,0.00,40.6,59.5,78.3
ANGE,-103.9920,40.7939,5177,2023-09-28,0.00,47.0,65.4,83.7
ANGE,-103.9920,40.7939,5177,2023-09-29,0.00,46.8,64.9,82.9
ANGE,-103.9920,40.7939,5177,2023-09-30,0.00,48.6,63.1,77.6
ANGE,-103.9920,40.7939,5177,2023-10-01,0.00,47.9,66.1,84.3
ANGE,-103.9920,40.7939,5177,2023-10-02,0.00,47.1,65.6,84.1
ANGE,-103.9920,40.7939,5177,2023-10-03,0.26,44.7,62.7,80.6
ANGE,-103.9920,40.7939,5177,2023-10-04,0.00,39.1,52.5,65.9
ANGE,-103.9920,40.7939,5177,2023-10-05,0.00,38.6,52.2,65.9
ANGE,-103.9920,40.7939,5177,2023-10-06,0.00,43.5,52.5,61.5
ANGE,-103.9920,40.7939,5177,2023-10-07,0.00,31.5,42.7,53.8
ANGE,-103.9920,40.7939,5177,2023-10-08,0.00,34.2,51.8,69.4
ANGE,-103.9920,40.7939,5177,2023-10-09,0.00,33.9,53.8,73.6
ANGE,-103.9920,40.7939,5177,2023-10-10,0.00,35.9,55.5,75.1
ANGE,-103.9920,40.7939,5177,2023-10-11,0.00,39.5,58.5,77.5
ANGE,-103.9920,40.7939,5177,2023-10-12,0.22,39.8,55.6,71.4
ANGE,-103.9920,40.7939,5177,2023-10-13,0.04,34.8,44.3,53.7
ANGE,-103.9920,40.7939,5177,2023-10-14,0.00,23.5,34.7,45.9
ANGE,-103.9920,40.7939,5177,2023-10-15,0.00,23.9,38.7,53.5
ANGE,-103.9920,40.7939,5177,2023-10-16,0.00,30.1,46.4,62.6
ANGE,-103.9920,40.7939,5177,2023-10-17,0.00,35.8,53.5,71.3
ANGE,-103.9920,40.7939,5177,2023-10-18,0.00,39.6,60.7,81.7
ANGE,-103.9920,40.7939,5177,2023-10-19,0.00,39.6,54.0,68.4
ANGE,-103.9920,40.7939,5177,2023-10-20,0.00,41.7,58.5,75.2
ANGE,-103.9920,40.7939,5177,2023-10-21,0.00,41.8,60.8,79.7
ANGE,-103.9920,40.7939,5177,2023-10-22,0.00,39.4,56.4,73.4
ANGE,-103.9920,40.7939,5177,2023-10-23,0.00,37.9,55.6,73.3
ANGE,-103.9920,40.7939,5177,2023-10-24,0.00,36.8,56.7,76.5
ANGE,-103.9920,40.7939,5177,2023-10-25,0.02,36.4,50.8,65.3
ANGE,-103.9920,40.7939,5177,2023-10-26,0.00,34.3,47.7,61.1
ANGE,-103.9920,40.7939,5177,2023-10-27,0.00,14.4,25.3,36.1
ANGE,-103.9920,40.7939,5177,2023-10-28,0.00,18.5,29.5,40.5
ANGE,-103.9920,40.7939,5177,2023-10-29,0.19,16.3,20.0,23.8
ANGE,-103.9920,40.7939,5177,2023-10-30,0.00,8.0,17.4,26.7
ANGE,-103.9920,40.7939,5177,2023-10-31,0.00,10.5,26.8,43.1
ANGE,-103.9920,40.7939,5177,2023-11-01,0.00,16.7,31.4,46.1
ANGE,-103.9920,40.7939,5177,2023-11-02,0.00,27.7,43.4,59.2
ANGE,-103.9920,40.7939,5177,2023-11-03,0.00,31.5,48.2,64.9
ANGE,-103.9920,40.7939,5177,2023-11-04,0.00,40.6,52.6,64.7
ANGE,-103.9920,40.7939,5177,2023-11-05,0.00,37.6,50.2,62.7
ANGE,-103.9920,40.7939,5177,2023-11-06,0.00,36.9,54.8,72.8
ANGE,-103.9920,40.7939,5177,2023-11-07,0.00,33.5,51.1,68.7
ANGE,-103.9920,40.7939,5177,2023-11-08,0.01,34.1,49.0,63.9
ANGE,-103.9920,40.7939,5177,2023-11-09,0.00,23.0,35.3,47.6
ANGE,-103.9920,40.7939,5177,2023-11-10,0.00,17.9,31.7,45.6
ANGE,-103.9920,40.7939,5177,2023-11-11,0.00,18.3,35.3,52.3
ANGE,-103.9920,40.7939,5177,2023-11-12,0.00,25.6,41.7,57.7
ANGE,-103.9920,40.7939,5177,2023-11-13,0.00,24.7,42.3,59.9
ANGE,-103.9920,40.7939,5177,2023-11-14,0.00,29.7,47.5,65.2
ANGE,-103.9920,40.7939,5177,2023-11-15,0.00,32.3,50.1,68.0
ANGE,-103.9920,40.7939,5177,2023-11-16,0.00,32.2,47.7,63.3
ANGE,-103.9920,40.7939,5177,2023-11-17,0.00,28.7,44.6,60.5
