ObjectID,GlobalID,Date,DateYMD,Coordinate Source,Accuracy,Accuracy of GPS Unit,GPS Datum,Latitude,Longitude,Elevation,Unit,Ranger District,Org_Code,Forest Name,Area Within District,Land owner,Location Details,CreationDate,Creator,EditDate,Editor,x,y
13,b81808d7-e39f-4548-a1eb-1ccf384d2e52,########,20240601,GPS,GPS,Within 5m,WGS84,40.22632,-105.891,8810,feet,21008,21008,Arapaho and Roosevelt National Forests,North of Idle Glen TH,USFS,From Granby head north on highway 34 for about 10 miles. Turn west onto CR4.  Continue onto FR123. Park at the fork of FR123 and the trailhead. Site is 100 ft from the road to the NE.,########,cnhp_guest4,########,cnhp_guest4,-105.891,40.22632
14,ec55800f-a532-4574-8cfd-ea8edebb38d9,########,20240602,GPS,GPS,Within 5m,WGS84,40.18435,-105.855,8256,feet,21008,21008,Arapaho and Roosevelt National Forests,Green Ridgeonnorthern most corner of lake Granby,USFS,"From Granby head nw on hwy 34, turn south on cr64. Site is 1.2 miles down the road on the east slope",########,cnhp_guest4,########,cnhp_guest4,-105.855,40.18435
15,7121f07e-a900-4b8d-ac0b-504cd72886b6,########,20240602,GPS,GPS,Within 5m,WGS84,40.34123,-106.091,9273,feet,21008,21008,Arapaho and Roosevelt National Forests,Granite mountain area,USFS,"From Granby, turn north onto co hwy 125, then stop about 2500 ft before fr266.1. Site is on the sw slopedirectly across from the 2 on the MVUM map.",########,cnhp_guest4,########,cnhp_guest4,-106.091,40.34123
16,a15c11d2-db37-4634-80e5-4d53e82e35cc,########,20240602,GPS,GPS,Within 5m,WGS84,40.31359,-106.068,8842,feet,21008,21008,Arapaho and Roosevelt National Forests,Granite mountain co hwy 125,USFS,"From Granby, head NW on co hwy 125. Look for 2-track road to the west lessthan a mile after the intersection of 125 and CR4. Site is in the open meadow above the wetland south of the two-track.",########,cnhp_guest4,########,cnhp_guest4,-106.068,40.31359
17,9a64ad38-c3be-4b3e-864b-8e8cc6abd0d0,########,20240602,GPS,GPS,Within 5m,WGS84,40.27883,-106.087,8690,feet,21008,21008,Arapaho and Roosevelt National Forests,"Across from trail creek campground, 1000 ft south",USFS,"From granby take highway 125 north approximately 13 miles. Site on west side of road, 1000 ft before picnic campground.",########,cnhp_guest4,########,cnhp_guest4,-106.087,40.27883
18,e0c8965e-c789-4ef7-a1cd-816a09d2bf13,########,20240603,GPS,GPS,Within 5m,WGS84,40.16349,-105.908,8579,feet,21008,21008,Arapaho and Roosevelt National Forests,Table mountain,USFS,"From Granby, head west on CR 4064 off of hwy 34. In about 0.1miles, turn south onto a faint two track that soon meets up with a larger two track. Turn right (west) onto this road. Site will be about 1 mile up the road, north of the road on the ssw slope of Table Mountain. We parked about 0.3 miles below and walked up the road due to a fallen tree across the road.",########,cnhp_guest4,########,cnhp_guest4,-105.908,40.16349
19,6ed23d81-e82a-4842-b757-33bdfa0d4d0b,########,20240603,GPS,GPS,Within 5m,WGS84,39.88847,-105.493,8941,feet,21001,21001,Arapaho and Roosevelt National Forests,Gilpin Road,USFS,"From Nederland, head south on hwy 119. Turn west onto CR 13(Gilpin rd). Travel 0.75 mi, site is on the right, associated with aspen.",########,cnhp_guest4,########,cnhp_guest4,-105.493,39.88847
20,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,20240528,GPS,GPS,Within 5m,WGS84,40.69597,-105.525,6923,feet,21005,21005,Arapaho and Roosevelt National Forests,"Northeast of CO Highway 14 closer to road, above the floodplane.",USFS,"From La Porte, take N Overland trail north. Turn west onto CO highway 14. Travel abou 21 mi,es and site will be on NE side of road.",########,ac15_CSUesri,########,cnhp_guest4,-105.525,40.69597
21,1efa9ebe-df6c-4683-b4af-92494ba9533b,########,20240528,GPS,GPS,Within 5m,WGS84,40.6367,-105.525,8151,feet,21005,21005,Arapaho and Roosevelt National Forests,Jacks gultch campground,USFS,"From Laportetake co hwy 14 west to 63E, turnsouth. travel for approx. 4 mi then turninto campground on SW side of road.",########,ac15_CSUesri,########,ac15_CSUesri,-105.525,40.6367
22,6c8a0c25-c17a-4ea2-87a0-5fbcb55fc2ec,########,20240529,GPS,GPS,Within 5m,WGS84,40.70034,-105.315,5772,feet,21005,21005,Arapaho and Roosevelt National Forests,"Hewlett gultch, 4,000ft in",USFS,From Laporte take hwy 287 to CO hwy 14 W. Turn north onto Hewlett gultch TH and park in lot. Site is approx. 4000ft from TH,########,ac15_CSUesri,########,ac15_CSUesri,-105.315,40.70034
23,ec3b1f9b-1573-467c-92ac-ca855bfaae0e,########,20240529,GPS,GPS,Within 5m,WGS84,40.57927,-105.464,8180,feet,21005,21005,Arapaho and Roosevelt National Forests,Buckhorn ranger station,USFS,"From Laporte take hwy 287 north to CO hwy 14 west. turn south onto Stove prairie road, then west onto Buckhorn/ 44H. Travel 8 mi to site, approx. 0.1mi before Buckhorn ranger station",########,ac15_CSUesri,########,ac15_CSUesri,-105.464,40.57927
24,8429678c-9795-42a3-961f-bfcd5ac321d4,########,20240530,GPS,GPS,Within 5m,WGS84,40.71392,-105.399,7220,feet,21005,21005,Arapaho and Roosevelt National Forests,FR 339.1 first stop,USFS,"From Laporte take hwy 287 N to CR 74E W. Turn S onto CR 196 then SE onto FR 339.1. Travel approx. 4,000 ft plants growing on west slope.",########,ac15_CSUesri,########,ac15_CSUesri,-105.399,40.71392
25,4bea4076-e5c9-4008-b52c-3f338584309e,########,20240530,GPS,GPS,Within 5m,WGS84,40.7147,-105.392,7241,feet,21005,21005,Arapaho and Roosevelt National Forests,FR 339.1 second stop,USFS,From Laporte take hwy 287 N to 74E W. Take until CR 196 then go south and turn SE onto 339.1 and take for approx. 1 mi. Site is on SE facing slope.,########,ac15_CSUesri,########,ac15_CSUesri,-105.392,40.7147
26,6f1c251f-01b4-4c84-b75a-9865ed66c46f,########,20240530,GPS,GPS,Within 5m,WGS84,40.74659,-105.541,7786,feet,21005,21005,Arapaho and Roosevelt National Forests,Elkhorn creek trail 1,USFS,From Laporte take hwy 287 N and turn W onto 74e. Turn SW onto 68C and park at Elkhorn TH. Site is on north slope 740ft ftom Elkhorn creek TH.,########,ac15_CSUesri,########,ac15_CSUesri,-105.541,40.74659
27,077a379b-131d-46cb-be5a-8675f1957985,########,20240530,GPS,GPS,Within 10m,WGS84,40.73378,-105.634,9045,feet,21005,21005,Arapaho and Roosevelt National Forests,FR 171 site 2,USFS,"From Laporte take hwy 287 N to 74E, then turn S onto CR 69. Turn onto FR 171 and take for 2 mi, plants growing S of road",########,ac15_CSUesri,########,ac15_CSUesri,-105.634,40.73378
28,fb75f462-5563-47fc-b14b-d2972ac1d8f4,########,20240531,GPS,GPS,Within 5m,WGS84,40.30881,-106.062,8782,feet,21008,21008,Arapaho and Roosevelt National Forests,near the junction of Highway 125 and CO Highway 4,USFS,"From Granby head north on 125. After about 16 miles, turn right onto CO Hwy 4. Park at trailhead map. Walk 50 feet to the bridge, then follow the creek 0.1 miles",########,ac15_CSUesri,########,ac15_CSUesri,-106.062,40.30881
29,9a1f1cbd-3b8c-4847-9554-38c2ee59ddd7,########,20240531,GPS,GPS,Within 5m,WGS84,40.25757,-106.111,8789,feet,21008,21008,Arapaho and Roosevelt National Forests,Bill Miller trail,USFS,"From Granby, head north on 125 for between 11 and 12 miles. Turn west onto FR 108.1. Watch for signs for Buffalo Creek. Continue on FR 108.1 for about 3.5 miles, where you'll reach the Bill Miller trailhead at the split in the road. Walk up the Bill Miller trail for about 0.15 miles. PEST will be on the south-facing slope left of the trail. ERUM will be all along the trail on both north- and south-facing aspects.",########,ac15_CSUesri,########,ac15_CSUesri,-106.111,40.25757
30,a93b1301-21a2-4e4a-94f7-5b84fa18ad6e,########,20240601,GPS,GPS,Within 5m,WGS84,40.12542,-105.776,8220,feet,21008,21008,Arapaho and Roosevelt National Forests,Strawberry lake trail,USFS,"From Granby go NE on hwy 34, then turn east onto CR 6. Trail is about 5.5 miles down road on the S side.",########,ac15_CSUesri,########,ac15_CSUesri,-105.776,40.12542
31,7d68ef2b-0c5b-45e5-b0f2-a46b5d40e655,########,20240601,GPS,GPS,Within 5m,WGS84,40.13354,-105.82,8323,feet,21008,21008,Arapaho and Roosevelt National Forests,N side of CR 6,USFS,"From Granby go NE on hwy 34, then turn east onto CR 6. Site is 4 miles down road on the N side.",########,ac15_CSUesri,########,ac15_CSUesri,-105.82,40.13354
32,6cdac54a-b29e-4fa5-ba2a-db730abdbb4c,########,20240601,GPS,GPS,Within 10m,WGS84,40.13363,-105.82,8350,feet,21008,21008,Arapaho and Roosevelt National Forests,S side of CR 6,USFS,"From Granby go NE on hwy 34, then turn east onto CR 6. Site is 4 miles down road on the N side.",########,ac15_CSUesri,########,ac15_CSUesri,-105.82,40.13363
33,04e6a930-cc3c-4397-813f-e4f2f330cacf,########,20240601,GPS,GPS,Within 10m,WGS84,40.21647,-105.885,8648,feet,21008,21008,Arapaho and Roosevelt National Forests,NW of  fork between FR 123 and 833.1,USFS,"From Granby head N on hwy 34 for about 10 mi, turn W on CR 4 contue onto FR 123 park at fork with 833.1. Site is NW.",########,ac15_CSUesri,########,ac15_CSUesri,-105.885,40.21647
34,3ecf9d2e-22c4-43ea-bc56-dc652d3f51ec,########,20240602,GPS,GPS,Within 10m,WGS84,40.20459,-105.841,8326,feet,21008,21008,Arapaho and Roosevelt National Forests,Green Ridge campground,USFS,"2From Granby go NW on hwy 34, then E on FR 274. Negative site is approx. 1 mi down road on S side. ",########,ac15_CSUesri,########,ac15_CSUesri,-105.841,40.20459
35,ef9c1583-241b-43e1-bc0f-83d759a15b68,########,20240602,GPS,GPS,Within 5m,WGS84,40.34614,-106.097,9424,feet,21008,21008,Arapaho and Roosevelt National Forests,Turnoff a ross from FR 266.1,USFS,"From Granby go N on CO hwy 125, stop across from FR 266.1,approx 18 mi down the road. Site is on E side across stream.",########,ac15_CSUesri,########,ac15_CSUesri,-106.097,40.34614
36,7b5277e7-6009-4342-904a-2b7e6738ff6e,########,20240602,GPS,GPS,Within 10m,WGS84,40.28098,-106.085,8637,feet,21008,21008,Arapaho and Roosevelt National Forests,Trail creek campground,USFS,From Granby take CO hwy125 N approx. 13 mi and stop on E side of road at trail creek campground. Plants are approx 170ft S of parking area.,########,ac15_CSUesri,########,ac15_CSUesri,-106.085,40.28098
37,2f906042-4cf0-4075-92fa-cba53b6ebe2e,########,20240602,GPS,GPS,Within 10m,WGS84,40.02231,-105.808,8818,feet,21008,21008,Arapaho and Roosevelt National Forests,4000 ft N meadow creek camground,USFS,"From Granby go S on US hwy 40, then NE on CR 84, stat left at major road forks. Site is 3 mi down road on SW side, afterfirst two major turns.",########,ac15_CSUesri,########,ac15_CSUesri,-105.808,40.02231
38,d4755026-15ac-4d3d-a19a-951be618232f,########,20240603,GPS,GPS,Within 5m,WGS84,40.16349,-105.907,8493,feet,21008,21008,Arapaho and Roosevelt National Forests,Table mountain,USFS,"From Granby, turn west onto CR 4064 from hwy 34. Take the first left onto a faint two track that joins a larger two track very shortly. turn right (west) onto that road and travel  ab9ut half a mile. Site is west of the road.",########,ac15_CSUesri,########,ac15_CSUesri,-105.907,40.16349
39,470e807a-c564-40cb-9f2a-bea3d6afa4d6,########,20240603,GPS,GPS,Within 5m,WGS84,40.17001,-105.904,8327,feet,21008,21008,Arapaho and Roosevelt National Forests,Table Mountain,USFS,"From Granby, take U.S. Highway 34 N. Turn onto unmarked FS road just before CR4064. Drive west about 1000 ft. Stop just before intersection.",########,ac15_CSUesri,########,ac15_CSUesri,-105.904,40.17001
40,76ebb032-b7d5-43a4-b8fd-65182cdd6580,########,20240603,GPS,GPS,Within 25m,WGS84,39.94657,-105.509,8650,feet,21001,21001,Arapaho and Roosevelt National Forests,Reroot trail ,USFS,"From Nederland go S on CO hwy 119, then turn W onto FR 132W and park approx. 1 mi down road. population is on S side of road.",########,ac15_CSUesri,########,ac15_CSUesri,-105.509,39.94657
41,d838f2ab-9c83-4ab0-a3c7-3b116e3c9411,########,20240611,GPS,GPS,Within 5m,WGS84,40.92674,-103.925,5260,feet,21006,21006,Arapaho and Roosevelt National Forests,North of Pawnee,USFS,"From Pine Bluffs, head south on CR164. Then head east on CR203 and CR6. Then head south on CR5 and CR111. Then head east on CR134 and south on CR119. Watch for two track on the east. Drive .5  mile on two track. The site on the north side of the two track.",########,cnhp_guest4,########,cnhp_guest4,-103.925,40.92674
42,c11ab1f0-5c51-4454-b471-b54861bcf59d,########,20240611,GPS,GPS,Within 5m,WGS84,40.92651,-103.915,5277,feet,21006,21006,Arapaho and Roosevelt National Forests,North of Pawnee Buttes,USFS,"From Pine Bluffs, head south on CR164. Then head east on CR203 and CR6. Then head south on CR5 and CR111. Then head east on CR134 and south on CR119. Watch for two track on the east. Drive 1mile on two track. The site on the south side of the two track, 120 ft from the rd.",########,cnhp_guest4,########,ac15_CSUesri,-103.915,40.92651
43,abe59a84-c88d-455f-81be-7e43ecd462be,########,20240611,GPS,GPS,Within 5m,WGS84,40.92719,-103.913,5254,feet,21006,21006,Arapaho and Roosevelt National Forests,North of Pawnee Buttes,USFS,"From Pine Bluffs, head south on CR164. Then head east on CR203 and CR6. Then head south on CR5 and CR111. Then head east on CR134 and south on CR119. Watch for two track on the east. Drive 1.1 miles Site is directly south of rd, on NW-NE slopes of rocky hill.",########,cnhp_guest4,########,cnhp_guest4,-103.913,40.92719
44,4a1e4b0e-0b3f-47f1-bc2d-eab8014f9460,########,20240614,GPS,GPS,Within 5m,WGS84,40.81525,-103.994,5142,feet,21006,21006,Arapaho and Roosevelt National Forests,Pawnee Buttes,USFS,"From Grover, head east on CR122, drive for 9.3 miles. Turn right (south) on CR107 and drive for 5 miles. Make a slight left onto Cr122 (west). Drive for 1.9 miles th3n turn left (north) onto Pawnee Buttes Trail Head. Stay on the trail head road for 1.2 miles then the parking lot will be on the north (right) side of the road. Hike down the Pawnee Buttes tr for about 0.4 miles. Site is alongside the tr on N facing slopes.",########,ac15_CSUesri,########,ac15_CSUesri,-103.994,40.81525
45,0c4ad5bf-d49e-47b7-8d0c-92ae2d861175,########,20240611,GPS,GPS,Within 5m,WGS84,40.91829,-103.858,5240,feet,21006,21006,Arapaho and Roosevelt National Forests,North of Pawnee Buttes,USFS,"From Pawnee Buttes TH, head S toward CR110.5, turn W onto CR110. Turn N onto CR127, continue onto CR129, then turn W onto CR 128, travel .75 miles.  Site is 100 ft S of Rd",########,cnhp_guest4,########,cnhp_guest4,-103.858,40.91829
46,04511eb8-084d-49ba-acd6-c957ac616b0a,########,20240614,GPS,GPS,Within 5m,WGS84,40.8071,-104.013,5351,feet,21006,21006,Arapaho and Roosevelt National Forests,Pawnee Buttes Dispersed Camping,USFS,"From Grover, head east on CR122, drive for 9.3 miles. Turn right (south) on CR107 and drive for 5 miles. Make a slight left onto Cr122 (west). Drive for 1.9 miles th3n turn left (north) onto Pawnee Buttes Trail Head. Stay on the trail head road for 1.5 miles then the site will be on the north side of rd 685 (trail head rd).",########,ac15_CSUesri,########,ac15_CSUesri,-104.013,40.8071
47,a0ce3605-8c0e-435b-b2e9-192a2657a75f,########,20240611,GPS,GPS,Within 5m,WGS84,40.78798,-103.915,4832,feet,21006,21006,Arapaho and Roosevelt National Forests,East of Pawnee Buttes,USFS,"From Pawnee Buttes trailhead head south, turn east onto CR110 1/2. Travel 4.6 miles then park at access gate. Site is 100ft north of  gate.",########,cnhp_guest4,########,cnhp_guest4,-103.915,40.78798
48,046c6e4e-3684-4af5-bedd-0775f104b847,########,20240612,GPS,GPS,Within 5m,WGS84,40.6375,-103.6,4352,feet,21006,21006,Arapaho and Roosevelt National Forests,SE corner ,USFS,"From Stoneham, head west on highway 14. Then turn north onto CR155. Travel 1.9 miles. Site is on the east bank of rd. ",########,cnhp_guest4,########,cnhp_guest4,-103.6,40.6375
49,c4dc6586-507a-484b-a0f4-b525bdf9e552,########,20240612,GPS,GPS,Within 5m,WGS84,40.84841,-103.656,4549,feet,21006,21006,Arapaho and Roosevelt National Forests,Money Saver Windmilll,USFS,"From Stoneham, head north on highway 71. Drive for about 17.5 miles then turn east on CR120. Merge east onto CR 149 . Turn right (S) onto the loop. Travel 1.8 miles. Site is on the east side of the road by first eroded area.",########,cnhp_guest4,########,cnhp_guest4,-103.656,40.84841
50,768b3bc7-4704-4bc7-b55e-3fd080c0f470,########,20240612,GPS,GPS,Within 5m,WGS84,40.96019,-103.731,5096,feet,21006,21006,Arapaho and Roosevelt National Forests,Hidden valley well,USFS,"From Stoneham, head N on hwy 71, then W on CR132. Turn N on FS709 for 0.8 miles. Site is 150 ft W of road, following rocky, shallow soils.",########,cnhp_guest4,########,cnhp_guest4,-103.731,40.96019
51,67e15d78-d904-4ad0-a854-da75f59e1a89,########,20240612,GPS,GPS,Within 5m,WGS84,40.97147,-103.718,5067,feet,21006,21006,Arapaho and Roosevelt National Forests,Rock Cave Windmill,USFS,"From Stoneham, head N on hwy 71, then W on CR132. Turn N on FS709 for 2 miles. Site is 150 ft E & W of road along hillside.",########,cnhp_guest4,########,cnhp_guest4,-103.718,40.97147
52,b8aef71f-57a1-48a1-ab1a-8ffb12cffa60,########,20240613,GPS,GPS,Within 5m,WGS84,40.64646,-103.897,4748,feet,21006,21006,Arapaho and Roosevelt National Forests,Wild Horse Creek,USFS,"From New Raymer, head W on hwy 14. Turn N onto CR123 and continue onto FS751. Travel 3.4 miles N of hwy 14. Site is 100 ft W of the rd.",########,cnhp_guest4,########,cnhp_guest4,-103.897,40.64646
53,196bc63e-cf36-4ca3-a986-46cab166d46e,########,20240614,GPS,GPS,Within 5m,WGS84,40.64876,-104.342,4807,feet,21006,21006,Arapaho and Roosevelt National Forests,Crow Valley CG,USFS,"From the Crow Vakkey CG, follow the small, obscure trail out of the back of the CG.",########,ac15_CSUesri,########,ac15_CSUesri,-104.342,40.64876
54,5981897f-3981-490b-b90f-e7fbaeb7bd58,########,20240613,GPS,GPS,Within 5m,WGS84,40.65701,-103.898,4692,feet,21006,21006,Arapaho and Roosevelt National Forests,Wild Horse Creek,USFS,"From New Raymer, head W on hwy 14. Turn N onto CR123 and continue onto FS751. Travel 4.4 miles N of hwy 14. Site is E of road on E-facing slopes as you drop in elevation nearing Wild Horse Creek.",########,cnhp_guest4,########,ac15_CSUesri,-103.898,40.65701
55,0ea5804d-a906-4f52-86fc-d5e0eef40f51,########,20240615,GPS,GPS,Within 5m,WGS84,40.68612,-104.36,4843,feet,21006,21006,Arapaho and Roosevelt National Forests,Seven Cross Windmill,USFS,"From Briggsdale, head N on CR77, then W on FS96. Head N 9n the two track to Seven Cross Windmill. Site is 700 ft W of windmill, near the ephemaral stream",########,ac15_CSUesri,########,ac15_CSUesri,-104.36,40.68612
56,9352481b-01da-48b6-a727-35effc832ad1,########,20240613,GPS,GPS,Within 5m,WGS84,40.63017,-103.926,4780,feet,21006,21006,Arapaho and Roosevelt National Forests,Wild Horse Creek,USFS,"From New Raymer, head W on hwy 14, then N on CR123. Turn W on CR90 then continue S on CR845 for abt 0.6 miles. Site is 300 ft W of rd.",########,cnhp_guest4,########,cnhp_guest4,-103.926,40.63017
57,eeed7d85-e5b7-4897-8482-6f87dfc22a90,########,20240615,GPS,GPS,Within 5m,WGS84,40.68128,-104.479,5043,feet,21006,21006,Arapaho and Roosevelt National Forests,Baker Draw Shooting Range,USFS,"From Briggsdale, head N on CR77, then W on FS96. Drive for 7.6 miles. About 1.5miles west of Baker Draw Shooting Range on the south side of FS96.",########,ac15_CSUesri,########,ac15_CSUesri,-104.479,40.68128
58,8dc52fbe-f4da-401c-b385-d4278d4abc61,########,20240613,GPS,GPS,Within 5m,WGS84,40.64908,-103.956,4753,feet,21006,21006,Arapaho and Roosevelt National Forests,Valley Windmill,USFS,"From New Raymer, head W on hwy 14, then N on CR123. Turn W on CR90 then continue S on CR845, 88, and 739. Park at windmill at end of rd and walk SW up the slope for abt 400 ft ",########,cnhp_guest4,########,cnhp_guest4,-103.956,40.64908
59,acba58b6-3158-40cd-a987-f4ebee5cb813,########,20240615,GPS,GPS,Within 5m,WGS84,40.72668,-104.685,5053,feet,21006,21006,Arapaho and Roosevelt National Forests,Little Owl Creek,USFS,"From Nuun, head east on highway 100 for 1.5 miles. Turn left (N) on CR37. Drive for.5 miles then turn right (E) on CR102. Site will be on the north side.",########,ac15_CSUesri,########,ac15_CSUesri,-104.685,40.72668
60,fd62848a-d849-479d-9737-e8760cc0df38,########,20240615,GPS,GPS,Within 5m,WGS84,40.76635,-104.677,5167,feet,21006,21006,Arapaho and Roosevelt National Forests,Eastman Creek,USFS,"From Nunn, head N on hwy 85, then E on CR108.  Turn S onto FS770, travel 800 ft. Site is 200 ft E of rd.",########,ac15_CSUesri,########,cnhp_guest4,-104.677,40.76635
61,891ed187-5d4b-4bca-b3f2-5752689d5378,########,20240615,GPS,GPS,Within 5m,WGS84,40.77352,-104.654,5149,feet,21006,21006,Arapaho and Roosevelt National Forests,Eastman Creek,USFS,"From Nunn, head N on hwy 85, then E on CR108.  Travel 1,000 ft. The site will be on the north sideof rd. Walk 1800ft north to the creek.",########,ac15_CSUesri,########,cnhp_guest4,-104.654,40.77352
62,4f3462b7-910e-46c0-9940-45aa1b61c370,########,20240615,GPS,GPS,Within 5m,WGS84,40.76854,-104.604,5162,feet,21006,21006,Arapaho and Roosevelt National Forests,Coal Creek,USFS,"From N7nn, head N on hwy85, then E on CR108 and continue onto FS795. Stop where FR795 intersects with Coal Creek. Site follows the bottom of Coal Creek.",########,ac15_CSUesri,########,ac15_CSUesri,-104.604,40.76854
63,e3d2b1d6-a384-4058-ae0a-985750269953,########,20240613,GPS,GPS,Within 5m,WGS84,40.64999,-104.41,4912,feet,21006,21006,Arapaho and Roosevelt National Forests,Sand Creek,USFS,"From Brriggsdale, head W o  hwy 14, turn N onto hwy 69. trabel abt .8 miles, site is 400 ft E of rd.",########,cnhp_guest4,########,cnhp_guest4,-104.41,40.64999
64,3a6460c3-e1b1-4b6b-81e0-368ed2e63879,########,20240616,GPS,GPS,Within 5m,WGS84,40.78145,-104.41,5039,feet,21006,21006,Arapaho and Roosevelt National Forests,Orr Windmill,USFS,"From Briggsdale, head north on CR77. Travel 10 miles then turn left (east) on FS110. Travel 3.9 miles then park along rd. Walk 1,100ft south of rd.",########,ac15_CSUesri,########,ac15_CSUesri,-104.41,40.78145
65,c342af46-21f2-493a-8596-768368b7768f,########,20240616,GPS,GPS,Within 5m,WGS84,40.80396,-104.461,5084,feet,21006,21006,Arapaho and Roosevelt National Forests,Willow Creek,USFS,"From Hereford, head W on CR136, then S on CR77. Turn W onto CR114 and continue onto FS114. Bare south on FS241 and park where Willow Creek nears the rd. Site is on the broad, grassy, NNW-facing slope just south of the creek drainage.",########,ac15_CSUesri,########,ac15_CSUesri,-104.461,40.80396
66,49a8b815-1eb1-4ede-a3dd-168d9814f23f,########,20240614,GPS,GPS,Within 5m,WGS84,40.80058,-103.996,5246,feet,21006,21006,Arapaho and Roosevelt National Forests,Pawnee Buttes,USFS,"From Grover , take CR122 and 107 towards Pwnee Buttes TH. Continue on FS685 abt 0.7 miles past the Buttes windmill. Site is near chalky slopes 100 ft E of rd.",########,cnhp_guest4,########,ac15_CSUesri,-103.996,40.80058
