ObjectID,GlobalID,Target Species,Other Species,Comments,Approximate Area of Population,Evidence of Disturbance/Damage,If Other Factor Please Specify,Approximate Number of Individual Plants Present and Accessible,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit,Estimated Number of Fruits per Stem,Estimated Number of Stems per Individual Plant,Viability Calculation Result,Estimate the Number of Individual Plants at Natural Dispersal Stage,Are You Collecting Seeds on This Trip?,Primary Key,General Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
13,ef28d7df-6332-47ee-aaf7-251ba252d8d6,POSE,,,1,Grazed_Domestic,,200,10,40,40,0,0,Immature,,2,40,6,19200,<50,no,20240530_40.71127158-105.41217357,,252af49b-e841-4885-9b75-cc60c6c9f17a,########,cnhp_guest4,########,cnhp_guest4
14,8c968808-6518-4ab0-af7e-378750729613,THMO6,,,0.25,Timber_Harvest,,50,30,70,0,0,0,Immature,,7,5,5,1750,<50,no,20240530_40.74555705-105.54760291,,cbe837df-cb68-46d8-96fa-c65364234d8b,########,cnhp_guest4,########,cnhp_guest4
15,d62c3512-4aca-42d2-b84b-664c6d7fff91,ELTR7,,,1.5,Other,Someweedy spp.present,75,100,0,0,0,0,Immature,,4,11,3,1980,<50,no,20240601_40.14489563-105.87926896,Elymus glaucus also present.  Elymus trachycaulus found in the margin between sagebrush upland and the wetland,3d07edb4-3678-4f8e-9429-94fcc8a0d61d,########,cnhp_guest4,########,cnhp_guest4
16,6e41b0ec-29ec-4bc9-8ac3-8e8b18a7b2b2,ERUM,,,0.5,Other,Some weedy spp. Present,100,90,10,0,0,1001,Immature,,0,0,0,0,<50,no,20240601_40.14489563-105.87926896,,3d07edb4-3678-4f8e-9429-94fcc8a0d61d,########,cnhp_guest4,########,cnhp_guest4
17,b3f96613-2967-471a-a455-c99abd1448bc,ELTR7,,,3,Burnt,,50,100,0,0,0,0,Immature,,4,11,7,3080,<50,no,20240601_40.22631637-105.89051215,,b81808d7-e39f-4548-a1eb-1ccf384d2e52,########,cnhp_guest4,########,cnhp_guest4
18,b095561d-53e5-4bb3-b318-c0ff47e038c6,ELGL,,,3,Burnt,,100,100,0,0,0,0,Immature,,3,12,7,5040,<50,no,20240601_40.22631637-105.89051215,,b81808d7-e39f-4548-a1eb-1ccf384d2e52,########,cnhp_guest4,########,cnhp_guest4
19,9dd935bc-3c9a-4faa-b29e-cb78b56fb2c9,CHAN9,,,3,Burnt,,450,100,0,0,0,0,Immature,,0,0,0,0,<50,no,20240601_40.22631637-105.89051215,,b81808d7-e39f-4548-a1eb-1ccf384d2e52,########,cnhp_guest4,########,cnhp_guest4
20,f1289c4a-6bfd-44b1-ab0f-582b5cdbe88c,None,,,0,"Timber_Harvest,Resown",,0,0,0,0,0,0,Malformed/Other,,0,0,0,0,<50,no,20240602_40.18434763-105.85503415,,ec55800f-a532-4574-8cfd-ea8edebb38d9,########,cnhp_guest4,########,cnhp_guest4
21,6beef55d-713d-4a52-a4f3-faedee374a58,CHAN9,,,5,Burnt,,5000,100,0,0,0,0,Immature,,0,0,0,0,<50,no,20240602_40.34122739-106.0909452,,7121f07e-a900-4b8d-ac0b-504cd72886b6,########,cnhp_guest4,########,cnhp_guest4
22,22a47abd-91bc-45a6-b9d8-96653782a214,FEID,,,1,Burnt,,100,100,0,0,0,0,Immature,,5,15,10,15000,<50,no,20240602_40.31358644-106.06774826,,a15c11d2-db37-4634-80e5-4d53e82e35cc,########,cnhp_guest4,########,cnhp_guest4
23,d8b0c159-9273-42c3-b454-c67a13037292,ERUM,,,2,Burnt,,70,100,0,0,0,0,Immature,,0,0,0,0,<50,no,20240602_40.31358644-106.06774826,,a15c11d2-db37-4634-80e5-4d53e82e35cc,########,cnhp_guest4,########,cnhp_guest4
24,5b30b547-be3d-44dd-9d39-e61a45884738,ELTR7,,,1,Burnt,,100,100,0,0,0,0,Immature,,4,11,7,6160,<50,no,20240602_40.31358644-106.06774826,Found in margins between upland and seasonal wetland,a15c11d2-db37-4634-80e5-4d53e82e35cc,########,cnhp_guest4,########,cnhp_guest4
25,6a96a062-fa51-411b-a1d7-4ba773899817,ERUM,,,2,Burnt,,1000,70,30,0,0,0,Immature,,0,0,0,0,<50,no,20240602_40.27883015-106.08676827,Potential for penstemon strictus and chamerion angustifolium collections.,9a64ad38-c3be-4b3e-864b-8e8cc6abd0d0,########,cnhp_guest4,########,cnhp_guest4
26,98c7c785-e6db-47ab-9ef2-1fe10489f3e9,PSSP6,,,3,No_Damage,,750,100,0,0,0,0,Immature,,5,8,17,102000,<50,no,20240603_40.16348811-105.90750818,,e0c8965e-c789-4ef7-a1cd-816a09d2bf13,########,cnhp_guest4,########,cnhp_guest4
27,169e34f1-b09f-42fb-bd85-e4e88cd437bc,THMO6,,,1.5,No_Damage,,150,75,25,0,0,0,Immature,,7,5,7,3185,<50,no,20240603_39.88846736-105.49253405,,6ed23d81-e82a-4842-b757-33bdfa0d4d0b,########,cnhp_guest4,########,cnhp_guest4
28,83df8af3-862b-4dfc-9fbd-600e5c9ffe2f,ERUM,,,1,No_Damage,,200,100,0,0,0,0,Immature,,0,0,0,0,<50,no,20240528_40.69597251-105.5254534,,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,ac15_CSUesri,########,ac15_CSUesri
29,043e33d4-b20f-4995-88ff-d0fb49b855ee,POSE,,,0.1,No_Damage,,75,30,0,70,0,0,Immature,,0,0,0,0,<50,no,20240528_40.69597251-105.5254534,,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,ac15_CSUesri,########,ac15_CSUesri
30,fa5a9441-6481-43b4-84f9-82fcb8bdac2a,THMO6,,,0.25,Burnt,,450,70,30,0,0,0,Immature,,7,5,5,15750,<50,no,20240528_40.63670135-105.52475435,Possible Chamrrion angustifolium and Elymus trachycaulus. Road opens mid-June,1efa9ebe-df6c-4683-b4af-92494ba9533b,########,ac15_CSUesri,########,ac15_CSUesri
31,3d0ce424-4847-4be0-b252-a82ceb0f6ed2,MOFI,,,0.01,No_Damage,,100,100,0,0,0,0,Immature,,1,75,7,10500,<50,no,20240529_40.70034165-105.31504417,,6c8a0c25-c17a-4ea2-87a0-5fbcb55fc2ec,########,ac15_CSUesri,########,ac15_CSUesri
32,b5494c7b-ca8e-4569-8f86-427bdb2bee80,PEVI3,,,0.1,No_Damage,,200,30,70,0,0,0,Immature,,25,20,12,240000,<50,no,20240529_40.70034165-105.31504417,,6c8a0c25-c17a-4ea2-87a0-5fbcb55fc2ec,########,ac15_CSUesri,########,ac15_CSUesri
33,d97fbef0-d391-4a51-8609-694e44fc8829,HEVI4,,,0.01,Burnt,,50,100,0,0,0,0,Immature,,1,37,21,7770,<50,no,20240529_40.57926952-105.46350597,"No landscape photo, scouted from road",ec3b1f9b-1573-467c-92ac-ca855bfaae0e,########,ac15_CSUesri,########,ac15_CSUesri
34,6fc021d9-8434-4827-b7b2-4cc71b268fd6,THMO6,,,0.01,Burnt,,50,90,10,0,0,0,Immature,,7,5,3,1050,<50,no,20240529_40.57926952-105.46350597,,ec3b1f9b-1573-467c-92ac-ca855bfaae0e,########,ac15_CSUesri,########,ac15_CSUesri
35,8b831fb8-2c4d-4e9d-a524-0203e20e93c9,NAVI4,,,2,No_Damage,,275,100,0,0,0,0,Immature,,1,91,7,35035,<50,no,20240530_40.71391537-105.39922697,,8429678c-9795-42a3-961f-bfcd5ac321d4,########,ac15_CSUesri,########,ac15_CSUesri
36,31382af1-6fe4-4b26-88f2-fcb2785035da,HEVI4,,,2,No_Damage,,400,100,0,0,0,0,Immature,,1,37,21,62160,<50,no,20240530_40.71469871-105.39203901,"Potentially good HEMU and POSE collection site. Seeding next to road, buffer is important",4bea4076-e5c9-4008-b52c-3f338584309e,########,ac15_CSUesri,########,ac15_CSUesri
37,cb7d82f8-a082-40c2-af91-ea94d469c653,PEVI3,,,2,No_Damage,,400,70,30,0,0,0,Immature,,25,20,16,640000,<50,no,20240530_40.71469871-105.39203901,,4bea4076-e5c9-4008-b52c-3f338584309e,########,ac15_CSUesri,########,ac15_CSUesri
38,0f932c17-208a-4da1-b78f-31c65f2c00d6,ERCO4,,,1.75,No_Damage,,1000,10,50,20,15,5,Immature,,1,50,15,150000,>50,yes,20240530_40.74658616-105.541405,"Intermixed ERUM,flowering",6f1c251f-01b4-4c84-b75a-9865ed66c46f,########,ac15_CSUesri,########,ac15_CSUesri
39,cc053bfa-2806-40dd-9ba4-1dcef515b2a1,CHAN9,,,10,Burnt,,20000,100,0,0,0,0,Immature,,0,0,0,0,<50,no,20240530_40.73378117-105.63424662,,077a379b-131d-46cb-be5a-8675f1957985,########,ac15_CSUesri,########,ac15_CSUesri
40,0b357f12-578d-448c-94be-ab233d2d13c6,ERUM,,,0.3,Other,Excavation and dumping,300,100,0,0,0,0,Immature,,0,0,0,0,<50,no,20240531_40.30881265-106.06177297,Potentially good habitat for Deschampsia caespitosa as well. Too early to determine presence.,fb75f462-5563-47fc-b14b-d2972ac1d8f4,########,ac15_CSUesri,########,ac15_CSUesri
41,e64820be-43f3-4710-8999-9918ba21e5a6,PEST2,,,0.75,Burnt,,150,100,0,0,0,0,Immature,,7,30,25,157500,<50,no,20240531_40.2575711-106.11143465,,9a1f1cbd-3b8c-4847-9554-38c2ee59ddd7,########,ac15_CSUesri,########,ac15_CSUesri
42,7f984569-1c10-46a4-b8da-27ce437c9dfd,ERUM,,,1.25,Burnt,,250,80,20,0,0,0,Immature,,0,0,0,0,<50,no,20240531_40.2575711-106.11143465,Possibly fescue present.,9a1f1cbd-3b8c-4847-9554-38c2ee59ddd7,########,ac15_CSUesri,########,ac15_CSUesri
43,0abcd722-d0fe-46b1-8ca0-2ff0485179db,None,,"Minimal target species, steep trail with bog at top. ",0,No_Damage,,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240601_40.12541912-105.7762015,,a93b1301-21a2-4e4a-94f7-5b84fa18ad6e,########,ac15_CSUesri,########,ac15_CSUesri
44,33879331-6581-4e50-a9f6-3d9ebfa6b04e,THMO6,,,0.75,Timber_Harvest,,300,70,30,0,0,0,Immature,,7,5,7,14700,<50,no,20240601_40.13354261-105.82047989,,7d68ef2b-0c5b-45e5-b0f2-a46b5d40e655,########,ac15_CSUesri,########,ac15_CSUesri
45,c4786b77-1399-4138-bf2f-cd05eb52c98f,ERUM,,,0.33,Timber_Harvest,,75,95,5,0,0,0,Immature,,0,0,0,0,<50,no,20240601_40.13354261-105.82047989,Populatioj is on E side of boulder,7d68ef2b-0c5b-45e5-b0f2-a46b5d40e655,########,ac15_CSUesri,########,ac15_CSUesri
46,f70fdba3-3fd5-453b-a025-8c1ce3ce57e2,THMO6,,,2,Other,Recrational use,200,85,15,0,0,0,Immature,,7,5,7,9800,<50,no,20240601_40.13363095-105.81981977,,6cdac54a-b29e-4fa5-ba2a-db730abdbb4c,########,ac15_CSUesri,########,ac15_CSUesri
47,3d5175ec-3b37-4df7-a07f-e0c16f901adc,KOMA,,,2,Burnt,,250,100,0,0,0,0,Immature,,2,30,4,12000,<50,no,20240601_40.21647072-105.88501084,,04e6a930-cc3c-4397-813f-e4f2f330cacf,########,ac15_CSUesri,########,ac15_CSUesri
48,10e3beab-18f5-4cb1-b16a-d14bde48eb26,None,,"Steep slope, lots of downed trees.",0,Timber_Harvest,,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240602_40.20459145-105.84101978,,3ecf9d2e-22c4-43ea-bc56-dc652d3f51ec,########,ac15_CSUesri,########,ac15_CSUesri
49,6511bda0-47b9-40e3-9056-6e0f2d54c159,FEID,,,0.5,No_Damage,,70,100,0,0,0,0,Immature,,5,15,10,10500,<50,no,20240602_40.34613884-106.09698625,Unsure if FEID or FEAR2.,ef9c1583-241b-43e1-bc0f-83d759a15b68,########,ac15_CSUesri,########,ac15_CSUesri
50,827b9769-9cf8-442b-bac7-0393acbfc732,DECE,,,2,No_Damage,,200,100,0,0,0,0,Immature,,2,30,7,16800,<50,no,20240602_40.28098154-106.08483535,,7b5277e7-6009-4342-904a-2b7e6738ff6e,########,ac15_CSUesri,########,ac15_CSUesri
51,09ad6bdb-5354-459d-ab16-4e1f429ef6af,ELGL,,,1,Other,Recreation/camping,100,100,0,0,0,0,Immature,,3,12,7,5040,<50,no,20240602_40.02230907-105.80752491,,2f906042-4cf0-4075-92fa-cba53b6ebe2e,########,ac15_CSUesri,########,ac15_CSUesri
52,fd9c866e-dae3-4561-8ceb-cedf86884163,ERSP4,,,1.5,No_Damage,,200,100,0,0,0,0,Immature,,1,0,0,0,<50,no,20240602_40.02230907-105.80752491,,2f906042-4cf0-4075-92fa-cba53b6ebe2e,########,ac15_CSUesri,########,ac15_CSUesri
53,c948049a-27da-453d-ade2-140ae1fa392b,PEVI3,,,0.25,Burnt,,150,100,0,0,0,0,Immature,,25,20,5,75000,<50,no,20240603_40.16348684-105.90749463,,d4755026-15ac-4d3d-a19a-951be618232f,########,ac15_CSUesri,########,ac15_CSUesri
54,6e51d6b7-df6d-4519-81bb-2a4c62bc5121,PEST2,,,0.25,"Burnt,Other",Dumping,100,100,0,0,0,0,Immature,,7,30,8,33600,<50,no,20240603_40.17000644-105.90377041,,470e807a-c564-40cb-9f2a-bea3d6afa4d6,########,ac15_CSUesri,########,ac15_CSUesri
55,572487bc-1488-419a-adda-ead1349233af,THMO6,,,1,No_Damage,,250,10,90,0,0,0,Immature,,7,5,8,14000,<50,no,20240603_39.94656648-105.50912419,,76ebb032-b7d5-43a4-b8fd-65182cdd6580,########,ac15_CSUesri,########,ac15_CSUesri
56,617c5ae1-2ea4-4b31-a637-e2eac3639923,HEVI4,,,0.5,"Grazed_Domestic,Grazed_Wildlife,Trampled",,60,100,0,0,0,0,Immature,,1,37,21,9324,<50,no,20240611_40.92674096-103.92464026,,d838f2ab-9c83-4ab0-a3c7-3b116e3c9411,########,cnhp_guest4,########,cnhp_guest4
57,4888fab4-a870-46b0-8394-a181a2a247c8,BOGR2,,,5,"Grazed_Domestic,Trampled",,2500,100,0,0,0,0,Immature,,1,54,5,135000,<50,no,20240611_40.92650512-103.91531257,,c11ab1f0-5c51-4454-b471-b54861bcf59d,########,cnhp_guest4,########,cnhp_guest4
58,56d1fecb-f24d-4dfe-bcf3-8a1d8e100e8c,HEVI4,,,0.5,"Grazed_Domestic,Trampled",,50,100,0,0,0,0,Immature,,1,37,21,7770,<50,no,20240611_40.92650512-103.91531257,,c11ab1f0-5c51-4454-b471-b54861bcf59d,########,cnhp_guest4,########,cnhp_guest4
59,10f09070-c42e-4371-8159-75813d7ec341,KOMA,,,0.75,Grazed_Domestic,,200,5,80,10,5,0,Immature,,2,30,3,7200,<50,no,20240611_40.92718897-103.91342016,,abe59a84-c88d-455f-81be-7e43ecd462be,########,cnhp_guest4,########,cnhp_guest4
60,3332e10a-689d-46cf-b972-6fb802054467,ELTR7,,,0.75,Grazed_Domestic,,65,95,0,5,0,0,Immature,,4,11,5,2860,<50,no,20240611_40.92718897-103.91342016,,abe59a84-c88d-455f-81be-7e43ecd462be,########,cnhp_guest4,########,cnhp_guest4
61,c1810a1c-74cb-4582-bf3b-c99ec7ba56f4,DAPU,,,0.5,Other,Trail,70,20,80,0,0,0,Immature,,0,0,0,0,<50,no,20240614_40.8152513-103.99376605,,4a1e4b0e-0b3f-47f1-bc2d-eab8014f9460,########,ac15_CSUesri,########,ac15_CSUesri
62,df33c3ee-b1f1-4161-8ed6-d44d499c3328,KOMA,,,1,"Grazed_Domestic,Trampled",,150,10,80,5,5,0,Immature,,2,30,5,,<50,no,20240611_40.91829266-103.85773666,,0c4ad5bf-d49e-47b7-8d0c-92ae2d861175,########,cnhp_guest4,########,cnhp_guest4
63,d0d3575e-3415-4daa-af30-81b22f63040f,BOGR2,,,1,"Grazed_Domestic,Trampled",,200,100,0,0,0,0,Immature,,1,54,3,6480,<50,no,20240611_40.91829266-103.85773666,,0c4ad5bf-d49e-47b7-8d0c-92ae2d861175,########,cnhp_guest4,########,cnhp_guest4
64,162da9e3-926f-4bb0-b2f9-d929e67db59f,KOMA,,,1,Other,Campground/human foot traffic,250,0,20,80,0,0,Immature,,2,30,3,9000,<50,no,20240614_40.80709942-104.01265553,,04511eb8-084d-49ba-acd6-c957ac616b0a,########,ac15_CSUesri,########,ac15_CSUesri
65,b2f376c2-84d8-4792-9caf-3cf63bbfeb05,DAPU,,,0.75,Other,Campground,60,10,90,0,0,0,Immature,,0,0,0,0,<50,no,20240614_40.80709942-104.01265553,,04511eb8-084d-49ba-acd6-c957ac616b0a,########,ac15_CSUesri,########,ac15_CSUesri
66,74ee2d80-1cc9-4fa5-a5b9-9f671a788bb6,PEAL2,,,1,Other,Campground,60,100,0,0,0,0,Immature,,30,25,3,27000,<50,no,20240614_40.80709942-104.01265553,,04511eb8-084d-49ba-acd6-c957ac616b0a,########,ac15_CSUesri,########,ac15_CSUesri
67,992b6f71-bef2-4788-990b-71ec9995964c,BOGR2,,,50,Grazed_Domestic,,5000,100,0,0,0,0,Immature,,1,54,3,162000,<50,no,20240611_40.78798449-103.91514728,,a0ce3605-8c0e-435b-b2e9-192a2657a75f,########,cnhp_guest4,########,cnhp_guest4
68,397b855e-dc7a-48c9-996f-f3b0c2e85246,PASM,,,50,Grazed_Domestic,,5000,100,0,0,0,0,Immature,,7,8,5,280000,<50,no,20240611_40.78798449-103.91514728,,a0ce3605-8c0e-435b-b2e9-192a2657a75f,########,cnhp_guest4,########,cnhp_guest4
69,14375e87-03f7-48af-9466-a6332d807110,None,,,0,Grazed_Domestic,,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240612_40.63749738-103.60017319,,046c6e4e-3684-4af5-bedd-0775f104b847,########,cnhp_guest4,########,cnhp_guest4
70,d0101d2f-32a8-4f1c-ae3f-e3630ec81c7c,NAVI4,,,0.25,No_Damage,,50,5,5,70,20,0,Healthy,,1,91,4,3640,<50,no,20240612_40.84840713-103.65570619,,c4dc6586-507a-484b-a0f4-b525bdf9e552,########,cnhp_guest4,########,cnhp_guest4
71,bfdb7c4c-afe5-4600-b01a-06a6225c266e,SCSC,,,1,Grazed_Domestic,,150,100,0,0,0,0,Immature,,2,0,0,0,<50,no,20240612_40.96018571-103.73109694,,768b3bc7-4704-4bc7-b55e-3fd080c0f470,########,cnhp_guest4,########,cnhp_guest4
72,32a4c274-f1cb-4902-861b-88f7886639ce,KOMA,,,1.2,Grazed_Domestic,,200,0,50,50,0,0,Immature,,2,30,3,7200,<50,no,20240612_40.96018571-103.73109694,,768b3bc7-4704-4bc7-b55e-3fd080c0f470,########,cnhp_guest4,########,cnhp_guest4
73,6bac5f38-5651-4180-89f2-68ae3404e7b8,BOGR2,,,10,Grazed_Domestic,,5000,100,0,0,0,0,Immature,,1,54,3,162000,<50,no,20240612_40.96018571-103.73109694,,768b3bc7-4704-4bc7-b55e-3fd080c0f470,########,cnhp_guest4,########,cnhp_guest4
74,4c66614c-b795-43df-b4db-1ee401c2765d,PASM,,,10,Grazed_Domestic,,5000,100,0,0,0,0,Immature,,7,8,5,280000,<50,no,20240612_40.96018571-103.73109694,,768b3bc7-4704-4bc7-b55e-3fd080c0f470,########,cnhp_guest4,########,cnhp_guest4
75,2e953648-ee00-4281-80e7-f3c9f99d0312,SCSC,,,3,Grazed_Domestic,,550,100,0,0,0,0,Immature,,2,0,0,0,<50,no,20240612_40.97146931-103.71805313,,67e15d78-d904-4ad0-a854-da75f59e1a89,########,cnhp_guest4,########,cnhp_guest4
76,0dc21934-cf01-4957-a500-d0b175af8414,PEAL2,,,1,"Seeded,Grazed_Domestic",,50,85,0,15,0,0,Immature,,30,25,2,15000,<50,no,20240613_40.64646017-103.897354,,b8aef71f-57a1-48a1-ab1a-8ffb12cffa60,########,cnhp_guest4,########,cnhp_guest4
77,20a50a57-90d7-47c7-93ba-a36ef27690b5,BOGR2,,,10,"Grazed_Domestic,Seeded",,5000,100,0,0,0,0,Immature,,1,54,5,270000,<50,no,20240613_40.64646017-103.897354,,b8aef71f-57a1-48a1-ab1a-8ffb12cffa60,########,cnhp_guest4,########,cnhp_guest4
78,7564684f-4ee0-4966-b586-330c9329b9c4,None,,Severly degraded area,0,"Seeded,Mowed,Other",,0,0,0,0,0,0,Malformed/Other,,0,0,0,0,<50,no,20240614_40.64875987-104.34170499,,196bc63e-cf36-4ca3-a986-46cab166d46e,########,ac15_CSUesri,########,ac15_CSUesri
79,9e1bf8d8-6ca6-4099-8d94-87fc6cbe2954,SCSC,,,0.3,No_Damage,,110,100,0,0,0,0,Immature,,2,0,30,0,<50,no,20240613_40.65700628-103.89810269,,5981897f-3981-490b-b90f-e7fbaeb7bd58,########,cnhp_guest4,########,cnhp_guest4
80,d682cdee-08c8-4adf-8e4a-3191fd286c9f,BOGR2,,,5,Grazed_Domestic,,3500,100,0,0,0,0,Immature,,1,54,3,113400,<50,no,20240615_40.68611891-104.36035711,,0ea5804d-a906-4f52-86fc-d5e0eef40f51,########,ac15_CSUesri,########,ac15_CSUesri
81,c13639c1-e906-426a-aec2-753bd96322fd,PASM,,,3,Grazed_Domestic,,500,90,5,5,0,0,Immature,,7,8,5,28000,<50,no,20240615_40.68611891-104.36035711,"Located along streambanks, as well as in the plains",0ea5804d-a906-4f52-86fc-d5e0eef40f51,########,ac15_CSUesri,########,ac15_CSUesri
82,a1dae8ab-4a9d-452e-9628-a693a4265d39,RACO3,,,1.5,Grazed_Domestic,,150,20,80,0,0,0,Immature,,1,300,5,45000,<50,no,20240615_40.68611891-104.36035711,Associated tightly with the edges of the ephemoral strem,0ea5804d-a906-4f52-86fc-d5e0eef40f51,########,ac15_CSUesri,########,ac15_CSUesri
83,b9c22270-334b-4843-9b15-f254168c49c2,BOGR2,,,10,"Seeded,Grazed_Domestic",,5000,100,0,0,0,0,Immature,,1,54,3,162000,<50,no,20240613_40.63016961-103.92578398,,9352481b-01da-48b6-a727-35effc832ad1,########,cnhp_guest4,########,cnhp_guest4
84,763d8982-a90a-4229-8474-fa773e6de275,PASM,,,10,"Seeded,Grazed_Domestic",,1000,100,0,0,0,0,Immature,,7,8,3,33600,<50,no,20240613_40.63016961-103.92578398,"Area has a lot of A. c4istatum, possibly escaped from neighboring field.",9352481b-01da-48b6-a727-35effc832ad1,########,cnhp_guest4,########,cnhp_guest4
85,89ac7b11-9c5b-40e8-8b06-acdc96c2f94f,BOGR2,,,20,Grazed_Domestic,,10000,100,0,0,0,0,Immature,,1,54,3,324000,<50,no,20240615_40.68128455-104.4791542,,eeed7d85-e5b7-4897-8482-6f87dfc22a90,########,ac15_CSUesri,########,ac15_CSUesri
86,32530de0-4705-490a-9231-2184faa09d30,BOGR2,,,10,Grazed_Domestic,,5000,100,0,0,0,0,Immature,,1,54,3,162000,<50,no,20240613_40.64907634-103.95649618,,8dc52fbe-f4da-401c-b385-d4278d4abc61,########,cnhp_guest4,########,cnhp_guest4
87,8e9b94ae-b35c-4926-a795-c967adc80e79,BOGR2,,,20,Grazed_Domestic,,10000,100,0,0,0,0,Immature,,1,54,3,324000,<50,no,20240615_40.726683-104.6845651,,acba58b6-3158-40cd-a987-f4ebee5cb813,########,ac15_CSUesri,########,ac15_CSUesri
88,64e6d603-7cc9-4f99-aa64-819c80d03506,BOGR2,,,5,Grazed_Domestic,,5000,100,0,0,0,0,Immature,,1,54,3,162000,<50,no,20240615_40.76634757-104.67657476,,fd62848a-d849-479d-9737-e8760cc0df38,########,ac15_CSUesri,########,ac15_CSUesri
89,ab16fd7e-0d1d-41ef-bc73-5aec2e71937d,RACO3,,,0.25,"Grazed_Domestic,Other",Near road,75,100,0,0,0,0,Immature,,1,300,6,27000,<50,no,20240615_40.76634757-104.67657476,,fd62848a-d849-479d-9737-e8760cc0df38,########,ac15_CSUesri,########,ac15_CSUesri
