ObjectID,GlobalID,Primary Key,Seed Collection Ref. Number,USFS Collection ID,Date Collection Started,Date Collection Ended,DateYMD,Recollection,Original Seed Reference Number,Collected Species,Other Species,Comments,Species Collection Number,Collection Technique,Seeds Collected From,Reason for Collecting from Ground,Number of Plants Sampled,Number of Plants Found,Average Plant Height,Field Notes to Assist in Identification of Pressed Specimen,Ecoregion,Ranger District,Org_Code,Provisional Seed Zone,Geology,Has There Been a Change in the Site's Disturbance/Damage Since Your Pre-Collection Form?,New Modifying Factors,If Other Factor Please Specify,Land Form,If Other Land Form Please Specify,Slope,Aspect,Number of Pressed Specimens,Date Voucher Taken,Herbaria names,How Confident are you in This Species' Identification?,Identified By,Material Identified,Date Identified,To be completed before you walk away from the site,Soil Texture,If Other Soil Type Please Specify,National Vegetation Classification,How Confident are you in this Vegetation's Classification?,Notes on NVC,Seed Collection Raw Weight,CreationDate,Creator,EditDate,Editor,x,y
13,1194062e-1886-4e44-be40-1692e4a4d809,20240628_44.04797481-104.48998794,USFSR2.2-007,KOMA_NG1015SH_020609_20240628-02,6/28/2024 20:18,6/28/2024 21:00,20240628,no,,KOMA,,,02,Every_5,Plants,,300,1500,0.7,,NG,20609,20609,1015SH,Sandstone,no,,,Flat,,2,SE,2,6/28/2024 18:00,Local,8,Dina clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay,,Group 331. The closest association is Artemisia tridentata ssp. wyomingensis / Pascopyrum smithii - Pseudoroegneria spicata Shrub Grassland CEGL008299.,5,Further characterization of this type is needed.,90,07/02/2024 14:10:59.467,cnhp_guest4,10/21/2024 22:41:05.791,cnhp_guest4,-104.4901238,44.04813199
14,385ef2d7-2042-4944-95b4-e107f47e9052,20240628_44.04797481-104.48998794,USFSR2.2-008,Other_NG1015SH_020609_20240628-01,6/28/2024 20:35,6/28/2024 21:02,20240628,no,,Other,ELLA3 (Elymus lanceolatus),,01,Every_5,Plants,,85,800,0.7,determined Elymus lanceolatus,NG,20609,20609,1015SH,Sandstone,no,,,Flat,,2,SE,2,6/28/2024 18:00,Local,8,Dina Clark,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay,,Group 331. The closest association is Artemisia tridentata ssp. wyomingensis / Pascopyrum smithii - Pseudoroegneria spicata Shrub Grassland CEGL008299.,5,"Further characterization of this type is needed.
",30,07/02/2024 14:11:01.529,cnhp_guest4,10/22/2024 16:08:18.047,cnhp_guest4,-104.4901042,44.04815157
15,72dfea52-3018-4f6e-b95d-8ace2b2caa72,20240626_43.27977364-105.01072236,USFSR2.1-006,POSE_NG1015SA_020609_20240626-01,6/26/2024 15:55,6/26/2024 17:51,20240626,no,,POSE,,,01,Every_5,Plants,,396,2000,0.75,very short hairs on lemma margins. Weakly keeled,NG,20609,20609,1015SA,Shale,no,,,Gulch,,8,N,3,6/26/2024 18:00,Local,7,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay_Loam,,Artemisia tridentata ssp. tridentata/ Poa secunda Shrubland CEGL001008.,6,Did not note Bouteloua gracilis or identify Carex sp. in field.,65,07/02/2024 14:11:46.359,ac15_CSUesri,10/21/2024 21:54:31.849,cnhp_guest4,-105.0105668,43.27853669
16,303a3cd5-33e6-4e8d-bc9a-6f07d2e96349,20240626_43.23872564-105.07138808,USFSR2.1-008,NAVI4_NG1015SA_020609_20240626-02,6/26/2024 20:47,6/26/2024 22:15,20240626,no,,NAVI4,,,02,20_percent,Plants,,320,500,1.1,,NG,20609,20609,1015SA,Shale,no,,,Gulch,,8,SE,2,6/26/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,Group 331. the closest association is Artemisia tridentata spp. Wyomingensis/ Bouteloua gracilis Northwestern Plains Shrubland. CEGL008295.,6,All diagnostic species present. Sarcobaus vermiculatus present but associated with Great Basin. Unsure of Great Basin plant community types that are not intermountain.,45,07/02/2024 14:11:49.393,ac15_CSUesri,10/22/2024 15:48:40.999,cnhp_guest4,-105.0714151,43.23874394
17,5c16da4b-e03f-433c-8a9f-d8b4e2aa6795,20240626_43.27977364-105.01072236,USFSR2.1-004,KOMA_NG1015SA_020609_20240626-01,6/26/2024 15:55,6/26/2024 17:51,20240626,no,,KOMA,,,01,Every_5,Plants,,670,7000,1,,NG,20609,20609,1015SA,Shale,no,,,Gulch,,8,N,3,6/26/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay_Loam,,G331. Pascopyrum smithii -Bouteloua gracilis - Carex filifolia Grassland CEGL001579.,6,"Unsure of Carex sp. Description matches site, especially soils.",185,07/02/2024 14:46:09.636,cnhp_guest4,10/22/2024 16:10:21.610,cnhp_guest4,-105.0107077,43.27979111
18,42ba8942-e5b1-4349-a726-1cb796088a1d,20240626_43.23872564-105.07138808,USFSR2.1-007,KOMA_NG1015SA_020609_20240626-02,6/26/2024 20:47,6/26/2024 22:15,20240626,no,,KOMA,,,02,Every_5,Plants,,430,3000,1,"Shortly hairy on rachis, no awns",NG,20609,20609,1015SA,Shale,no,,,Gulch,,8,SE,2,6/26/2024 18:00,Local,8,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,Group 331. The closest association is Artemisia tridentata ssp. wyomingensis / Bouteloua gracilis Northwestern plains Shrubland CEGL008295.,6,All diagnostic species present. Sarcobatus vermiculatus also present and noted as a Great Basin indicator species. Unsure of Great Basin plant community types that are not intermountain.,245,07/02/2024 14:46:12.061,cnhp_guest4,10/22/2024 16:10:22.659,cnhp_guest4,-105.0713872,43.23873263
19,3a000c75-07ff-4b05-ac4c-ee84af763825,20240627_43.82572603-104.64023223,USFSR2.2-003,KOMA_NG1015SA_020609_20240627-01,6/27/2024 20:41,6/27/2024 21:20,20240627,no,,KOMA,,,01,Every_5,Plants,,580,3000,1,,NG,20609,20609,1015SA,Sandstone,no,,,Plains,,0,Flat,2,6/27/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Loam,,G331. Artemisia tridentata ssp. wyomingensis / Bouteloua gracilis Northwestern Plains Shrubland.,6,Bouteloua was not dominant. Potentially overgrazed.,415,07/02/2024 14:46:14.414,cnhp_guest4,10/22/2024 16:10:23.612,cnhp_guest4,-104.6402356,43.82573649
20,b677beed-f149-4edd-a5f5-2a2aba188860,20240627_43.82572603-104.64023223,USFSR2.2-002,NAVI4_NG1015SA_020609_20240627-02,6/27/2024 20:41,6/27/2024 21:20,20240627,no,,NAVI4,,,02,20_percent,Plants,,110,200,3,,NG,20609,20609,1015SA,Sandstone,no,,,Plains,,0,Flat,2,6/27/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Loam,,G331. Artemisia tridentata ssp. wyomingensis / Bouteloua gracilis Northwestern Plains Shrubland.,6,Bouteloua not dominant. Potentially overgrazed.,10,07/02/2024 14:46:16.434,cnhp_guest4,10/22/2024 16:10:24.488,cnhp_guest4,-104.6401796,43.82570467
21,64c5a97e-b118-4569-be39-24df18ab2294,20240629_44.70134246-105.28682648,USFSR2.2-009,POSE_NG1015SA_020609_20240629-01,6/29/2024 17:25,6/29/2024 18:00,20240629,no,,POSE,,,01,Every_5,Plants,,100,1500,0.75,,NG,20609,20609,1015SA,Shale,no,,,Alluvial_Valley,,5,W,2,6/29/2024 18:00,Local,7,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Material_photo,Individual_photo,herbarium_vouchers,Bags,filled_out",Clay_Loam,,G889. Artemisia cana ssp. cana - Sarcobatus vermiculatus - (Ericameria nauseousa) Shrubland (CEGL002175),1,,40,07/02/2024 14:46:18.409,cnhp_guest4,10/22/2024 16:10:25.357,cnhp_guest4,-105.2868269,44.70134906
22,89172957-fe57-4c39-91ce-b157341e2f7b,20240629_44.70134246-105.28682648,USFSR2.2-010,KOMA_NG1015SA_020609_20240629-01,6/29/2024 17:25,6/29/2024 18:00,20240629,no,,KOMA,,,01,Every_5,Plants,,1004,2500,1,,NG,20609,20609,1015SA,Shale,no,,,Alluvial_Valley,,5,W,2,6/29/2024 18:00,Local,,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay_Loam,,G889. Artemisia cana ssp. cana - Sarcobatus vermiculatus - (Ericameria nauseousa) Shrubland (CEGL002175),1,,275,07/02/2024 14:46:20.771,cnhp_guest4,10/22/2024 16:10:26.459,cnhp_guest4,-105.2868344,44.70134939
23,9cf7494f-bc29-431f-9b00-529a8949226a,20240629_44.70134246-105.28682648,USFSR2.2-011,PSSP6_NG1015SA_020609_20240629-01,6/29/2024 17:25,6/29/2024 18:00,20240629,no,,PSSP6,,,01,Every_5,Plants,,220,1500,2,,NG,20609,20609,1015SA,Shale,no,,,Alluvial_Valley,,8,W,2,6/29/2024 18:00,Local,,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"Individual_photo,landscape_photo,Material_photo,herbarium_vouchers,filled_out,Bags",Clay_Loam,,G889. Artemisia cana ssp. cana - Sarcobatus vermiculatus - (Ericameria nauseousa) Shrubland (CEGL002175),1,Two dominant shrubs were Artemisia tridentata and Sarcobatus vermiculatus.,315,07/02/2024 14:46:22.971,cnhp_guest4,10/22/2024 16:10:27.323,cnhp_guest4,-105.2868307,44.70135237
24,274d8e01-12d6-45fd-91ab-c76a32dfe271,20240629_44.70134246-105.28682648,USFSR2.2-012,NAVI4_NG1015SA_020609_20240629-01,6/29/2024 17:25,6/29/2024 18:00,20240629,no,,NAVI4,,,01,20_percent,Plants,,470,600,2.5,,NG,20609,20609,1015SA,Shale,no,,,Floor,,3,W,2,6/29/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay_Loam,,G889. Artemisia cana ssp. cana - Sarcobatus vermiculatus - (Ericameria nauseousa) Shrubland (CEGL002175),1,"Artemisia tridentata and Sarcobatus vermiculatus dominate the shrub layer. >10% bare ground, PSSP6 dominated slopes and KOMA, NAVI4 dominated drainages. ",40,07/02/2024 14:46:25.123,cnhp_guest4,10/22/2024 16:10:28.332,cnhp_guest4,-105.2868587,44.70134041
25,06e77360-e0bb-41c7-a81e-0ff48c9ec386,20240701_43.26929571-105.17188024,USFSR2.1-012,KOMA_NG1015SA_020609_20240701-01,7/1/2024 14:03,7/1/2024 18:00,20240701,no,,KOMA,,,01,Every_5,Plants,,546,2000,1,,NG,20609,20609,1015SA,Shale,no,,,Drainage,,5,S,2,7/1/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Clay_Loam,,G331- Pascopyrum smithii - Bouteloua gracilis - Carex filifolia Grassland CEGL001579.,7,,305,07/02/2024 14:46:27.299,cnhp_guest4,10/22/2024 16:10:29.414,cnhp_guest4,-105.1728627,43.269643
26,7cf92471-7f70-4fd3-a233-eddb583cc971,20240701_43.26929571-105.17188024,USFSR2.1-011,NAVI4_NG1015SA_020609_20240701-01,7/1/2024 14:03,7/1/2024 18:00,20240701,no,,NAVI4,,,01,20_percent,Plants,,1658,1700,3,,NG,20609,20609,1015SA,Shale,no,,,Drainage,,3,S,2,7/1/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Loamy_Sand,,G331- Pascopyrum smithii - Bouteloua gracilis - Carex filifolia Grassland CEGL001579.,7,Heavily invaded by Brome spp. ad Poa pratensis in some areas.,60,07/02/2024 14:46:29.391,cnhp_guest4,10/22/2024 16:10:30.166,cnhp_guest4,-105.1728593,43.2696293
27,9923faf1-5011-4fe7-a6dc-b1fd02c6978e,20240701_43.26929571-105.17188024,USFSR2.1-013,POSE_NG1015SA_020609_20240701-01,7/1/2024 14:03,7/1/2024 18:00,20240701,no,,POSE,,,01,Every_5,Plants,,321,1600,1,,NG,20609,20609,1015SA,Shale,no,,,Drainage,,3,S,2,7/1/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Clay_Loam,,G331- Pascopyrum smithii - Bouteloua gracilis - Carex filifolia Grassland CEGL001579.,7,,50,07/02/2024 14:46:31.335,cnhp_guest4,10/22/2024 16:10:31.676,cnhp_guest4,-105.1728586,43.26962068
28,d5d20607-b08e-4507-a510-2d14b43f185e,20240711_41.19973466-105.36023274,USFSR2.1-019,Other_SR0510SH_020605_20240712-01,7/12/2024 13:45,7/12/2024 18:44,20240712,no,,Other,Thermopsis divaricarpa,,01,20_percent,Plants,,514,1000,1,Seed pods are curved upwards but not strongly so.  ,SR,20605,20605,0510SH,Granite,no,,,Foothills,,6,NE,2,7/12/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Material_photo,Individual_photo,herbarium_vouchers,Bags,filled_out",Other,Gravelly sandy loam,CEGL001533 - Artemisia tridentata spp. vaseyana / Festuca idahoensis Shrub Grassland,6,Artemisia tridentata occuring in semihumid environment with individuals and stands of Pinus ponderosa and Populus tremuloides. ,590,07/15/2024 19:00:51.774,ac15_CSUesri,10/21/2024 21:54:33.413,cnhp_guest4,-105.360457,41.19980611
29,e9a16651-0be1-42f0-9720-70f48c5007fc,20240713_41.21564973-105.41350698,USFSR2.1-020,Other_SR1015SH_020605_20240713-01,7/14/2024 2:45,7/12/2024 18:00,20240713,no,,Other,Thermopsis divaricarpa,,01,20_percent,Plants,,338,400,1.5,Beans slightly curved upwards,SR,20605,20605,1015SH,Granite,no,,,Drainage,,16,S,2,7/12/2024 18:00,Local,7,Pam smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Fine/gravelly sandy loam,CEGL000537 - Populus tremuloides - Pinus contorta / Juniperus communis Forest,7,CEGL000537 - Populus tremuloides - Pinus contorta / Juniperus communis Forest. Gentle to moderate slope with dominant tree cover of Pinus contorta and Populus tremuloides as well as common forbes including Thermopsis divaricarpa.,725,07/15/2024 19:00:56.051,ac15_CSUesri,10/21/2024 21:54:34.389,cnhp_guest4,-105.3220712,41.17668155
30,20859f88-5083-470b-82da-745941d83069,20240713_41.20500713-105.3896027,USFSR2.1-021,ACNE9_SR1015SH_020605_20240713-01,7/13/2024 18:20,7/13/2024 20:00,20240713,no,,ACNE9,,,01,20_percent,Plants,,300,1500,2,Not enough plant material to confirm id,SR,20605,20605,1015SH,Granite,no,,,Hillslope,,7,S,2,7/13/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Gravelly sandy loam,CEGL000587 - Populus tremuloides / Juniperous communis Forest,6,Ground cover dominant of Juniperous communis and tree cover of populus tremuloides as well as scattered Pinus ponderosa and herbaceous cover of Danthonia parryi. ,55,07/15/2024 19:01:00.388,ac15_CSUesri,10/21/2024 21:54:35.356,cnhp_guest4,-105.3896074,41.20515277
31,d27a0a80-a792-4a4c-ac35-836061a94026,20240713_41.20500713-105.3896027,USFSR2.1-022,Other_SR1015SH_020605_20240713-02,7/13/2024 18:20,7/13/2024 20:00,20240713,no,,Other,THDI4,,02,20_percent,Plants,,137,350,1.3,,SR,20605,20605,1015SH,Granite,no,,,Hillslope,,8,N,2,7/13/2024 18:00,Local,8,Pam smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Gravelly sandy loam,CEGL000587 - Populus tremuloides / Juniperus communis Forest,6,Dominant and significant species line up specifically Juniperus communis and Populus tremuloides as well as Artemisia tridentata and Arctostaphylos uva-ursi,245,07/15/2024 19:01:03.514,ac15_CSUesri,10/21/2024 21:54:36.199,cnhp_guest4,-105.3895807,41.20498276
32,ee8282f5-e0a0-4974-a5c6-c2241354aa1e,20240710_42.06168526-105.37408735,USFSR2.1-014,KOMA_SR1015SH_020609_20240710-01,7/10/2024 16:15,7/10/2024 18:00,20240710,no,,KOMA,,,01,Every_5,Plants,,2698,4000,1,,SR,20609,20609,1015SH,Gneiss,no,,,Foothills,,5,SW,2,7/10/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,herbarium_vouchers,Bags,filled_out,Material_photo",Other,Gravely loam,"CEGL002794  Pinus ponderosa/ Artemisia tridentata spp. vaseyana Woodland 
",6,"Tree cover is 10% cover of Pinus ponderosa. Noted species of: Koeleria macrantha, Purshia tridentata and Bouteloua gracilis. Soils are derived from granite.",660,07/15/2024 20:22:00.322,ac15_CSUesri,10/21/2024 22:41:07.770,cnhp_guest4,-105.3746954,42.06180124
