PRISM Time Series Data
Locations: 42
"Climate variables: ppt,tmean"
Spatial resolution: 800m
Period: 2026-01 - 2026-03
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmean (degrees F)
PEWH,-105.5770,39.9880,9895,2026-01,1.88,22.0
PEWH,-105.5770,39.9880,9895,2026-02,2.67,27.3
PEWH,-105.5770,39.9880,9895,2026-03,2.43,36.8

PEWH,-104.9994,38.8138,10381,2026-01,1.00,21.7
PEWH,-104.9994,38.8138,10381,2026-02,0.38,30.2
PEWH,-104.9994,38.8138,10381,2026-03,1.83,34.7

PEWH,-108.0627,37.4004,9505,2026-01,1.39,26.3
PEWH,-108.0627,37.4004,9505,2026-02,2.61,29.9
PEWH,-108.0627,37.4004,9505,2026-03,0.12,42.3

PEWH,-105.6319,38.0948,11473,2026-01,1.80,17.7
PEWH,-105.6319,38.0948,11473,2026-02,2.12,23.4
PEWH,-105.6319,38.0948,11473,2026-03,0.81,33.8

PEWH,-105.1382,37.3175,10577,2026-01,1.42,23.4
PEWH,-105.1382,37.3175,10577,2026-02,1.73,28.7
PEWH,-105.1382,37.3175,10577,2026-03,0.16,39.1

PEWH,-106.4726,41.3279,8743,2026-01,1.57,19.1
PEWH,-106.4726,41.3279,8743,2026-02,2.23,26.1
PEWH,-106.4726,41.3279,8743,2026-03,0.99,35.8

PEWH,-106.2644,39.4887,11509,2026-01,1.72,14.6
PEWH,-106.2644,39.4887,11509,2026-02,1.93,21.0
PEWH,-106.2644,39.4887,11509,2026-03,1.34,30.6

PEWH,-106.3100,41.3600,11142,2026-01,3.94,12.9
PEWH,-106.3100,41.3600,11142,2026-02,4.31,18.8
PEWH,-106.3100,41.3600,11142,2026-03,2.12,28.3

PEWH,-106.3100,41.3600,11142,2026-01,3.94,12.9
PEWH,-106.3100,41.3600,11142,2026-02,4.31,18.8
PEWH,-106.3100,41.3600,11142,2026-03,2.12,28.3

PEWH,-106.6200,40.4000,9508,2026-01,3.98,18.5
PEWH,-106.6200,40.4000,9508,2026-02,4.52,24.5
PEWH,-106.6200,40.4000,9508,2026-03,1.62,34.9

PEWH,-106.0900,39.3800,11841,2026-01,1.29,15.3
PEWH,-106.0900,39.3800,11841,2026-02,2.16,21.8
PEWH,-106.0900,39.3800,11841,2026-03,1.39,30.7

PEWH,-106.1800,39.1300,12037,2026-01,1.69,15.8
PEWH,-106.1800,39.1300,12037,2026-02,2.51,20.2
PEWH,-106.1800,39.1300,12037,2026-03,1.36,29.3

PEWH,-108.0747,37.3884,9403,2026-01,1.44,26.2
PEWH,-108.0747,37.3884,9403,2026-02,2.67,29.7
PEWH,-108.0747,37.3884,9403,2026-03,0.12,42.0

PEWH,-108.0066,37.4471,11598,2026-01,2.61,20.4
PEWH,-108.0066,37.4471,11598,2026-02,4.25,23.6
PEWH,-108.0066,37.4471,11598,2026-03,0.23,34.1

PEWH,-106.5041,38.6786,12028,2026-01,1.39,13.7
PEWH,-106.5041,38.6786,12028,2026-02,2.81,19.8
PEWH,-106.5041,38.6786,12028,2026-03,0.71,30.3

