ObjectID,GlobalID,Primary Key,What group is leading this collection?,Date Collection Started,YMD,Recollection,Original Seed Reference Number,Collector Names,Land Form,If other land form please specify,Slope,Aspect,Ecoregion,Ranger District,District Org Code,Ranger_Dist_Hidden,Forest Name,Provisional Seed Zone,Geology,Collected species codes,To be completed before you walk away from the site,Identified By,Material Identified,Date Identified,Soil Texture,If Other Soil Type Please Specify,National Vegetation Classification,How Confident are you in this Vegetation's Classification?,Notes on NVC,Seed Collection Raw Weight,Collection Weight in lbs,Approximate Number of Seeds Collected,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
11,2c4daf2d-aabd-4381-a3c6-d49ee6f39849,20250520_40.77253631-105.54305576,CNHPY3.1,7/16/2025 15:17,20250716,no,,Other,Valleys,,5,NE,SR,21005,21005,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,1015SH,,GETR,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,,,CEGL001107 Dasiphora fruticosa / Deschampsia cespitosa Wet Shrubland,5,Could also be CEGL001106,,,,3.09579E-06,0.007826631,07/16/2025 20:03:28.138,cnhp_guest4,07/31/2025 18:18:15.564,cnhp_guest4
12,eb5dcbb6-90a1-4cbc-bc00-212758db327c,20250722_41.16322102-106.11531786,CNHPY3.1,7/22/2025 18:00,20250722,no,,"Curtis_Drake,Blake_Granquist,Other",Intermontane_Basin,,1,SE,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510SH,Conglomerate,ACNE9,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly loam,G624 Western North American Interior Ruderal Grassland & Shrubland Group,5,"Veg community appears altered by human activities, especially soil compaction from dispersed camping",26,0.06,8598,7.52366E-07,0.00338577,07/29/2025 19:55:18.263,cnhp_guest4,07/31/2025 18:33:59.073,cnhp_guest4
13,3aaaf29f-c909-4c03-9579-71ed851c9ba8,20250722_41.16554793-106.13520381,CNHPY3.1,7/22/2025 22:26,20250722,no,,"Curtis_Drake,Blake_Granquist,Other",Intermontane_Basin,,0,W,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510HU,Conglomerate,ACNE9,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly sandy loam,A0424 Pinus contorta - Populus tremuloides Rocky Mountain Forest Alliance,7,,65,0.14,21495,1.20268E-06,0.006127594,07/29/2025 19:55:20.971,cnhp_guest4,07/31/2025 18:42:44.335,cnhp_guest4
14,b3c7c46d-0fe3-458b-92c2-1dad6a2dbca3,20250723_41.16553825-106.13894359,CNHPY3.1,7/23/2025 13:28,20250723,no,,"Blake_Granquist,Curtis_Drake,Other",Flat,,1,Flat,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510HU,Unconsolidated,ACNE9,Individual_photo,,,,Other,Gravelly sandy loam,A0424 Pinus contorta - Populus tremuloides Rocky Mountain Forest Alliance,5,,125,0.28,41337,2.84389E-06,0.008247953,07/29/2025 20:05:35.714,cnhp_guest4,07/31/2025 18:45:22.379,cnhp_guest4
15,aec3d44f-7767-4f5d-80db-6988f3a221db,20250724_41.1312983-106.16912657,CNHPY3.1,7/24/2025 14:40,20250724,no,,"Curtis_Drake,Blake_Granquist,Other",Unsure,,3,NW,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510SH,Gabbroic,ACNE9,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly sandy loam,G624 Western North American Interior Ruderal Grassland & Shrubland Group,7,Post-burn community,186,0.41,61509,4.5073E-05,0.029984523,07/29/2025 20:05:37.280,cnhp_guest4,07/31/2025 19:07:36.540,cnhp_guest4
16,90815831-8833-475f-8a11-411e21e30793,20250724_41.1312983-106.16912657,CNHPY3.1,7/24/2025 18:37,20250724,no,,"Blake_Granquist,Other",Flat,,0,Flat,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510SH,Gabbroic,DAIN,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly sandy loam,G624 Western North American Interior Ruderal Grassland & Shrubland Group,7,Post-burn community,193,0.43,193003,3.39753E-07,0.003130634,07/29/2025 20:05:39.286,cnhp_guest4,10/30/2025 22:29:26.731,cnhp_guest4
17,4bad12c1-bd35-4883-9f82-ac1832b8cb14,20250725_41.14832916-106.15432152,CNHPY3.1,7/25/2025 14:19,20250725,no,,"Blake_Granquist,Other",Hillslope,,6,SW,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510HU,Gabbroic,ACNE9,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly loam,G624 Western North American Interior Ruderal Grassland & Shrubland Group,6,Post-wildfire community,145,0.32,47951,1.33913E-06,0.012386989,07/29/2025 20:05:41.037,cnhp_guest4,07/31/2025 19:10:02.435,cnhp_guest4
18,853dc3da-6d92-4e9e-a3ee-e0fb9980d196,20250725_41.22388996-106.23345502,CNHPY3.1,7/25/2025 18:51,20250725,no,,"Blake_Granquist,Other",Drainage,,0,Flat,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510VH,Gneiss,GETR,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Very gravelly loam,G521. Pacific-Rocky Mountain Montane Wet Meadow & Marsh,8,,30,0.07,28572,7.14771E-07,0.004768671,07/29/2025 20:05:42.744,cnhp_guest4,07/31/2025 19:16:35.618,cnhp_guest4
19,9c25dadc-4599-49fe-acb7-48ae5741b78b,20250725_41.22388996-106.23345502,CNHPY3.1,7/25/2025 19:22,20250725,no,,"Blake_Granquist,Other",Drainage,,0,Flat,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,0510VH,Gneiss,DECE,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Very gravelly loam,G521. Pacific-Rocky Mountain Montane Wet Meadow & Marsh,8,,315,0.69,902793,2.6365E-06,0.006826444,07/29/2025 20:05:44.579,cnhp_guest4,07/31/2025 19:16:39.864,cnhp_guest4
20,895304d8-e745-453d-b35b-e72b6ac9e060,20250726_41.02814657-106.59685391,CNHPY3.1,7/26/2025 14:55,20250726,no,,Blake_Granquist,Drainage,,3,W,SR,20602,20602,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,0510HU,Marl,ACNE9,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly loam,"M893 Western North American Montane Marsh, Wet Meadow & Shrubland Macrogroup",8,,30,0.07,9921,3.52352E-06,0.015703618,07/29/2025 20:05:46.387,cnhp_guest4,07/31/2025 19:27:17.802,cnhp_guest4
21,04b0c1cf-b924-4749-9252-be73a87e8ebf,20250726_41.02814657-106.59685391,CNHPY3.1,7/26/2025 19:17,20250726,no,,Blake_Granquist,Drainage,,2,W,SR,20602,20602,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,0510HU,Marl,DECE,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly loam,"M893 Western North American Montane Marsh, Wet Meadow & Shrubland Macrogroup",8,,235,0.52,673512,8.55649E-07,0.007090577,07/29/2025 20:05:48.025,cnhp_guest4,07/31/2025 19:27:35.227,cnhp_guest4
22,7d7128a0-c903-4b44-81a9-a8e35fd9f298,20250727_41.06832439-106.63397144,CNHPY3.1,7/27/2025 14:39,20250727,no,,"Blake_Granquist,Other",Hillslope,,3,SW,SR,20602,20602,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,0510VH,Gneiss,ACNE9,Individual_photo,,,,Other,Very gravelly loam,A3182 Artemisia tridentata ssp. wyomingensis Dry-Mesic Shrub Steppe Alliance,5,,53,0.12,17527,9.63726E-07,0.00696812,07/29/2025 20:05:49.639,cnhp_guest4,07/31/2025 19:49:11.835,cnhp_guest4
23,2553ce8b-1332-434a-a540-c73daa721e7f,20250727_41.27831901-105.40119627,CNHPY3.1,7/27/2025 22:15,20250727,no,,Blake_Granquist,Drainage,,4,S,SR,20605,20605,Laramie Ranger District,Medicine Bow-Routt National Forest,1015SH,Granite,ACNE9,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly sandy loam,G226. Southern Rocky Mountain Dry Mixed Conifer Forest & Woodland,5,,5,0.01,1653,3.31951E-07,0.004009689,07/29/2025 20:05:50.959,cnhp_guest4,07/31/2025 19:49:18.551,cnhp_guest4
24,f16192c4-60e1-4081-8b3d-272aeb51b25d,20250728_40.77257513-105.54287143,CNHPY3.1,7/28/2025 19:49,20250728,no,,Blake_Granquist,Drainage,,2,NE,SR,21005,21005,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,1015SH,Alkali-feldspar-granite,DECE,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly sandy loam,CEGL001107 Dasiphora fruticosa / Deschampsia cespitosa Wet Shrubland,5,Could also be CEGL001106,293,0.65,839741,6.99898E-05,0.056871114,07/29/2025 20:05:52.192,cnhp_guest4,07/31/2025 18:17:19.953,cnhp_guest4
25,035dfee7-d13c-4237-95e8-3681ad18c531,20250805_39.844485636760226-105.49361465109884,CNHPY3.1,8/5/2025 16:15,20250805,no,,Other,Hillslope,,12,SE,SR,21007,21007,Clear Creek Ranger District,Arapaho and Roosevelt National Forests,0510HU,,CAPU,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,,,,,,,,,1.15662E-05,0.017578391,08/08/2025 19:36:20.378,cnhp_guest4,10/31/2025 17:58:29.950,cnhp_guest4
26,1a18b98c-ce82-40c6-81a1-094aedcdfd1e,20250614_43.59197089-109.9409576,CNHPY3.1,8/6/2025 22:10,20250806,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,5,SW,MR,21405,21405,Wind River Ranger District,Shoshone National Forest,0005HU,Unconsolidated,PEPR2,Individual_photo,,,,Loam,,,,,190,0.42,418878,1.38489E-06,0.004839948,08/11/2025 21:17:15.961,cnhp_guest4,08/11/2025 21:17:15.961,cnhp_guest4
27,ac06d16a-5585-4050-a0a0-1651ce09a535,20250611_42.59190602-108.84722943,CNHPY3.1,8/5/2025 22:00,20250805,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,5,W,MR,21403,21403,Washakie Ranger District,Shoshone National Forest,0510HU,Granodiorite,PEPR2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Loam,,,,,110,0.24,242508,1.57191E-07,0.001667981,08/12/2025 16:06:41.236,cnhp_guest7,08/12/2025 16:06:41.236,cnhp_guest7
28,dcbe342f-d89f-4d58-a50f-fd5f41d40121,20250611_42.73119987-108.8565137,CNHPY3.1,8/6/2025 14:21,20250806,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,8,E,MR,21403,21403,Washakie Ranger District,Shoshone National Forest,0510SH,Sand,POSE,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Sandy_Loam,,,,,42,0.09,85650,3.31411E-07,0.002962898,08/12/2025 16:06:43.282,cnhp_guest7,08/12/2025 16:06:43.282,cnhp_guest7
29,ba3ec5a8-db97-414e-ba9d-251afd68f850,20250614_43.57089203-109.88997151,CNHPY3.1,8/6/2025 20:28,20250806,no,,"Blake_Granquist,Curtis_Drake",Hillslope,,3,NE,MR,21405,21405,Wind River Ranger District,Shoshone National Forest,0510SH,Conglomerate,PEPR2,Individual_photo,,,,Sandy_Loam,,,,,158,0.35,348330,8.72022E-07,0.00471453,08/12/2025 16:06:44.939,cnhp_guest7,08/12/2025 16:06:44.939,cnhp_guest7
30,d252f607-44c8-4852-a624-a2b46e160369,20250615_43.65627847-109.93618302,CNHPY3.1,8/7/2025 14:19,20250807,no,,"Curtis_Drake,Blake_Granquist",Colluvium,,5,W,MR,21405,21405,Wind River Ranger District,Shoshone National Forest,0005SH,Unconsolidated,PEPR2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Sandy_Loam,,,,,475,1.05,1047196,2.38225E-06,0.012635159,08/12/2025 16:06:46.533,cnhp_guest7,08/12/2025 16:06:46.533,cnhp_guest7
31,085f7e9a-6129-4d17-b0df-08f1bc9d7059,20250615_43.71343537-109.96688157,CNHPY3.1,8/7/2025 17:10,20250807,no,,"Blake_Granquist,Curtis_Drake",Unsure,,2,SW,MR,21405,21405,Wind River Ranger District,Shoshone National Forest,0005HU,Unconsolidated,PEPR2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Loam,,,,,295,0.65,650364,1.18087E-06,0.004652288,08/12/2025 16:06:47.920,cnhp_guest7,08/12/2025 16:06:47.920,cnhp_guest7
32,5530a7a5-e090-41e8-8883-7664c4314d74,20250808_44.30493751-109.24259886,CNHPY3.1,8/8/2025 19:25,20250808,no,,"Curtis_Drake,Blake_Granquist",Flat,,1,NW,MR,21404,21404,Wapiti Ranger District,Shoshone National Forest,1015SH,Unconsolidated,"PEPR2, GETR","Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Loam,,,,,1160,2.56,2557362,4.57885E-06,0.008569276,08/12/2025 16:06:50.054,cnhp_guest7,11/03/2025 21:44:03.721,cnhp_guest4
33,6002cb47-f237-4980-a023-e0ca2b0af97a,20250809_44.69261927-109.62467183,CNHPY3.1,8/9/2025 21:42,20250809,no,,"Curtis_Drake,Blake_Granquist",Foothills,,10,SE,MR,21401,21401,Clarks Fork Ranger District,Shoshone National Forest,0510SH,Silt,PEPR2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Sandy_Loam,,,,,840,1.85,1851883,1.2781E-06,0.005298855,08/12/2025 16:06:51.461,cnhp_guest7,08/12/2025 16:06:51.461,cnhp_guest7
34,c751e0c8-80c8-4ca1-85a6-e4ede929b223,20250810_44.95004374-109.63291388,CNHPY3.1,8/10/2025 14:49,20250810,no,,"Curtis_Drake,Blake_Granquist",Hills,,5,Flat,MR,21401,21401,Clarks Fork Ranger District,Shoshone National Forest,0005VH,Limestone,GETR,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Loam,,A3614 Abies lasiocarpa - Picea engelmannii Rocky Mountain Moist Forest Alliance,6,,565,1.25,538104,1.98787E-06,0.006374286,08/12/2025 16:06:53.196,cnhp_guest7,08/12/2025 18:33:12.625,cnhp_guest4
35,eab54789-7e56-4a6b-9708-85cec0ae2904,20250819_39.65889969-105.87892287,CNHPY3.1,8/19/2025 18:55,20250819,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,5,N,SR,21510,21510,Dillon Ranger District,White River National Forest,0005VH,Migmatite,DROC,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Unsure,,A3176 Salix arctica - Salix nivalis - Salix reticulata Alpine Dwarf-shrubland Alliance,6,,90,0.2,126000,3.11186E-06,0.007537984,08/26/2025 17:29:47.588,cnhp_guest4,08/26/2025 18:32:43.707,cnhp_guest4
36,678ac1da-b6b2-46d2-88ec-5522289c2932,20250820_39.37020255-106.07016845,CNHPY3.1,8/20/2025 17:33,20250820,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,9,NE,SR,21510,21510,Dillon Ranger District,White River National Forest,0510VH,Arkose,DECE,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Silt_Loam,,"D031 Alnus viridis ssp. sinuata - Salix boothii / Carex spp. Western North American Freshwater Marsh, Wet Meadow & Shrubland Division",3,,395,0.87,1132074,4.28623E-07,0.007036958,08/26/2025 17:29:49.818,cnhp_guest4,08/26/2025 19:03:33.180,cnhp_guest4
37,2086545d-dd9a-44cf-9abd-ca24c3713071,20250821_39.70031048-106.34698171,CNHPY3.1,8/21/2025 14:43,20250821,no,,"Curtis_Drake,Blake_Granquist",Saddle,,15,NW,SR,21507,21507,Holy Cross Ranger District,White River National Forest,0510HU,Granite,"GERO2, DECE","Individual_photo,herbarium_vouchers",,,,Loam,,CEGL000381 Picea engelmannii / Vaccinium scoparium Forest,4,Better match for adjacent forest,153,0.34,118058,4.30322E-07,0.003387246,08/26/2025 17:29:51.659,cnhp_guest4,08/26/2025 18:38:14.668,cnhp_guest4
38,a2a82d88-6c26-4c11-8274-7209dcc2a5f2,20250821_39.70054223-106.34283066,CNHPY3.1,8/21/2025 17:31,20250821,no,,"Curtis_Drake,Blake_Granquist",Drainage,,5,W,SR,21507,21507,Holy Cross Ranger District,White River National Forest,0005VH,Granite,DECE,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Loam,,CEGL002663 Abies lasiocarpa - Picea engelmannii / Mertensia ciliata Swamp Forest,8,,145,0.32,415571,3.60782E-07,0.002755608,08/26/2025 17:29:53.286,cnhp_guest4,08/26/2025 18:20:49.774,cnhp_guest4
39,765ca65b-5071-4aaa-a59f-0171cc56d2b5,20250822_39.49799618-106.2528054,CNHPY3.1,8/22/2025 14:22,20250822,no,,"Curtis_Drake,Blake_Granquist",Saddle,,7,N,SR,21510,21510,Dillon Ranger District,White River National Forest,0005VH,Arkose,"CAEB, DECE, POAL2, GERO2",Individual_photo,,,,Silt_Loam,,CEGL001935 Trifolium dasyphyllum Alpine Fell-field,7,,2400,5.29,0,6.17195E-05,0.049162504,08/26/2025 17:29:55.536,cnhp_guest4,08/26/2025 18:08:22.484,cnhp_guest4
40,dff82c74-71be-4649-9287-4e35ac465988,20250824_39.126711-106.58731441,CNHPY3.1,8/24/2025 17:14,20250824,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,15,NE,SR,21501,21501,Aspen Ranger District,White River National Forest,0005VH,Migmatite,GERO2,"Individual_photo,herbarium_vouchers,filled_out",,,,Loam,,A3176 Salix arctica - Salix nivalis - Salix reticulata Alpine Dwarf-shrubland Alliance,6,,130,0.29,100310,5.16837E-07,0.006467047,08/26/2025 17:29:56.939,cnhp_guest4,08/26/2025 18:32:05.313,cnhp_guest4
41,8ff26257-5dd5-4a20-9a26-76ec621aa3f4,20250824_39.28137153-106.71867075,CNHPY3.1,8/25/2025 13:52,20250825,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,4,W,SR,21503,21503,Sopris Ranger District,White River National Forest,0005VH,Migmatite,"CAEB, DECE","Individual_photo,herbarium_vouchers,filled_out",,,,Loam,,CEGL000381 Picea engelmannii / Vaccinium scoparium Forest,4,"Confident that this is the NVC for adjacent forest, however, the site was open meadow and not forest.",250,0.55,0,3.9786E-06,0.010129625,08/26/2025 17:29:58.606,cnhp_guest4,08/26/2025 18:18:17.806,cnhp_guest4
42,0519e06b-3434-454d-b800-a00703dd67a1,20250709_39.52656686-105.74161082,CoNPS3.2,8/27/2025 14:11,20250827,no,,"Janet_Toenjes,Mele_Avery,Other",Stream_Terrace,,0,Flat,SR,21211,21211,South Platte Ranger District,Pike and San Isabel National Forests,0510SH,Gravel,"PEPR2, GETR","herbarium_vouchers,Individual_photo,Bags,filled_out",,,,Loam,,CEGL001105 Dasiphora fruticosa Wet Shrubland,8,May fit a narrower classification,580,1.28,1278681,2.33317E-06,0.007117669,08/28/2025 15:51:49.626,cnhp_guest4,10/05/2025 21:12:26.783,cnhp_guest4
43,e2273943-7d52-4c75-a08b-9758b195e665,20250529_40.75896001-104.46714864,CoNPS3.2,8/30/2025 15:27,20250830,no,,"Mele_Avery,Other",Plains,,5,NW,HP,21006,21006,Pawnee Ranger District,Arapaho and Roosevelt National Forests,1015SA,Shale,BOGR,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Sandy_Loam,,CEGL001760-Bouteloua gracilis Grassland,8,"Good for floristics, may fit a narrower classification",177,0.39,0,1.40623E-06,0.006480199,08/31/2025 03:25:05.745,cnhp_guest4,10/31/2025 16:45:22.535,cnhp_guest4
44,2b1ab067-5aa1-4191-9428-c52f0411609c,20250904_40.77708666678518-106.77404140122235,CoNPS3.2,9/6/2025 14:25,20250906,no,,"Maggie_Gaddis,Mele_Avery,Other",Hillslope,,10,SW,SR,20603,20603,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,0510HU,Siltstone,"HEMU3, ERSP4","Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Sandy_Loam,,CEGL000618-Populus tremuloides / Tall Forbs Forest,9,Could be CEGL000610 but this feels more correct based on forb diversity,591,1.3,2084691,1.03354E-06,0.0042268,09/07/2025 03:40:46.553,cnhp_guest4,10/21/2025 16:25:01.547,cnhp_guest4
45,f725d2c0-10f6-420b-b84b-078b01f65d52,20250903_42.96473289-103.44451504,CNHPY3.1,9/3/2025 14:38,20250903,no,,"Curtis_Drake,Blake_Granquist",Plateau,,8,Flat,NG,20702,20702,Pine Ridge Ranger District,Nebraska National Forest,1015SH,,SCSC,"herbarium_vouchers,Individual_photo",,,,Silty_Clay_Loam,,A4042 Schizachyrium scoparium - Bouteloua curtipendula Central Plains Grassland Alliance,,,910,2.01,521614,2.47542E-06,0.010886963,09/09/2025 17:03:27.417,cnhp_guest4,09/09/2025 19:48:33.022,cnhp_guest4
