ObjectID,GlobalID,Date,Latitude,Longitude,Elevation,Unit,Ranger District,Org_Code,Forest Name,Area Within District,Land owner,Location Details,Ecoregion,Provisional Seed Zone,Geology,Seed Collection Ref. Number,USFS Collection ID,Date Collection Started,Date Collection Ended,DateYMD,Recollection,Original Seed Reference Number,Collection Technique,Seeds Collected From,Reason for Collecting from Ground,Number of Plants Sampled,Number of Plants Found,Average Plant Height,Field Notes to Assist in Identification of Pressed Specimen,Coordinate Source,Accuracy,Accuracy of GPS Unit,GPS Datum,National Vegetation Classification,Modifying Factors,If Other Factor Please Specify,Slope,Aspect,Soil Texture,Number of Pressed Specimens,Date Voucher Taken,Herbaria names,How Confident are you in This Species' Identification?,Identified By,Material Identified,Date Identified,ID Comments,To be completed before you walk away from the site,CreationDate,Creator,EditDate,Editor,Associated Species,Notes on Associated Species,x,y
15,06e593fa-3027-4d1c-8d41-0e3c1a444620,7/19/2023 15:54,43.90201619,-103.8265635,6537,feet,20306,20306,Black Hills National Forest,Gillette Prairie Headwaters,USFS,On west side of FR 291 approx 1/2mi south of junction with FR 296; take FR 288 north from hwy 16 to FR 291,MR,0510SH,Chert,,KOMA_MR0510SH_020306_,,,,,,,,,,,,,,,,,,Grazed_Domestic,,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8265635,43.90201619
16,4e1e2a90-7c97-4e5d-8122-428614f0a22e,7/19/2023 16:31,43.90229042,-103.8297949,6581,feet,20306,20306,Black Hills National Forest,West from Gillette Prairie Headwaters meadow into forested area,USFS,"Approx 1,000ft from west side of FR 291 approx 1/2mi south of junction with FR 296; take FR 288 north from hwy 16 to FR 291",MR,0510SH,Chert,,ELTR7_MR0510SH_020306_,,,,,,,,,,,,,,,,,,"Grazed_Domestic,Other",Potential timber sale area several years or decades ago; potential re-seeded area,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8297949,43.90229042
17,b673142f-98a3-40cd-ade6-377aecbd4d99,7/19/2023 18:23,43.79398984,-103.8772882,6012,feet,20303,20303,Black Hills National Forest,Antelope Ridge,USFS,"On Antelope Ridge; from Hwy 16, north on FR 282, north on FR 283, approx 3/4mi north of FR 283.1C junction on open ridge past Pinus Ponderosa",MR,1015SH,Sandstone,USFSR2-05,KOMA_MR1015SH_020303_20230719,7/19/2023 11:40,7/19/2023 12:23,20230719,no,,20_percent,Plants,,100,1000,1,,GPS,GPS,Within 5m,WGS84,CEGL000203,Grazed_Domestic,,6,W,Sandy_Clay_Loam,2,7/19/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8772882,43.79398984
18,711dd77b-d33f-4456-b052-03f7ee244149,7/19/2023 18:57,43.79396219,-103.8772574,6006,feet,20303,20303,Black Hills National Forest,Antelope Ridge,USFS,"On Antelope Ridge; from Hwy 16, north on FR 282, north on FR 283, approx 3/4mi north of FR 283.1C junction on open ridge past Pinus Ponderosa",MR,1015SH,Sandstone,USFSR2-06,THRH_MR1015SH_020303_20230719,7/19/2023 12:58,7/20/2023 12:58,20230719,no,,20_percent,Plants,,200,1000,0.75,,GPS,GPS,Within 5m,WGS84,CEGL000203,Other,Wildfire high severity in 2000,5,W,Sandy_Clay_Loam,2,7/19/2023 18:00,Local,,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,Thermopsis rhombifolia var. divaricarpa,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8772574,43.79396219
19,02a95f6f-73b9-4030-9bce-4371e6303395,7/19/2023 20:59,43.7981603,-103.8808431,6031,feet,20303,20303,Black Hills National Forest,Antelope Ridge,USFS,"On Antelope Ridge; from Hwy 16, north on FR 282, north on FR 283, approx 1mi north of FR 283.1C on open ridge past Pinus Ponderosa",MR,0510SH,Sandstone,,PSSP6_MR0510SH_020303_,,,,,,,,,,,,,,,,,,"Timber_Harvest,Other",high severity wildfire in 2000,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8808431,43.7981603
20,fbc69c0a-9097-4214-908f-bc06585b438e,7/19/2023 21:52,43.80657993,-103.8302919,6147,feet,20306,20306,Black Hills National Forest,Mudsprings Rd,USFS,"From Hwy 16, north on FR 282, approx 1mi north of junction with 282.2C on NW side of road",MR,1015SH,Chert,,NAVI4_MR1015SH_020306_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8302919,43.80657993
21,651f900c-e1f6-40ca-b617-599c91d49ec8,7/19/2023 22:08,43.77206823,-103.8524545,5894,feet,20303,20303,Black Hills National Forest,Fr 282,USFS,"From Hwy 16, north on FR 282 for approx 4mi, then 1/4mi East of juntion with FR 747 on north side of FR 282",MR,1015SH,Chert,,NAVI4_MR1015SH_020303_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8524545,43.77206823
22,e2ee9338-73e3-4268-8202-c93e5c4f685e,7/20/2023 16:15,43.66440848,-103.7906081,5405,feet,20303,20303,Black Hills National Forest,Hawkwright TH,USFS,"From Hwy 16, FR 273 south to Hawkwright TH, collection on west and east sides of FR 273",MR,1520SH,Sandstone,USFSR2-08,NAVI4_MR1520SH_020303_20230720,7/20/2023 10:15,7/21/2023 7:55,20230720,no,,20_percent,Plants,,200,1500,2.5,,GPS,GPS,Within 5m,WGS84,CEGL001681,"Grazed_Domestic,Timber_Harvest",,12,NW,Sandy_Loam,2,7/20/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/10/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.7906081,43.66440848
23,f6a4ce02-0095-40da-8d71-1bfaedadf851,7/25/2023 14:59,40.6550463,-104.0297183,4835,feet,21006,21006,Arapaho and Roosevelt National Forests,CR 109,USFS,"From hwy 14 going east from Briggsdale, go northwest on CR 390 for about a mile, then turn north on CR 109 and travel about 300 feet. Collection site on west side of road past the loading pen on the east side. ",HP,1015SA,Sandstone,USFSR2-10,BOGR2_HP1015SA_021006_20230725,7/25/2023 9:12,7/25/2023 11:22,20230725,no,,20_percent,Plants,weight,1200,25000,1,,GPS,GPS,Within 5m,WGS84,CEGL001756,No_Damage,,3,E,Sandy_Clay,2,7/25/2023 18:00,Local,10,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/25/2023 21:25,ac15_CSUesri,7/25/2023 21:25,ac15_CSUesri,,,-104.0297183,40.6550463
24,ea43fde5-48e3-4902-85a4-e5008140263f,7/26/2023 15:30,40.79832473,-104.5323867,5230,feet,21006,21006,Arapaho and Roosevelt National Forests,End of County rd 112,USFS,"From hwy 85 head east on CR 114 for 10 miles then turn south onto CR 53 for 3 miles, then turn east onto CR 112 and travel till the end. Collection site on north side of road",HP,1015SA,Shale,,BOGR2_HP1015SA_021006_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,,,-104.5323867,40.79832473
25,4fd5177d-3ef3-4de2-80bf-6fd18eed2c8a,7/26/2023 18:30,40.76871946,-104.5889892,5194,feet,21006,21006,Arapaho and Roosevelt National Forests,CR 108,USFS,"Hwy 85 north from Ault, east on CR 114, south on CR 49, east on CR 108 approx 1/4 mile, B gracilis on north side of road through barbed wire fence",HP,1015SA,Shale,USFSR2-13,BOGR2_HP1015SA_021006_20230726,7/26/2023 12:30,7/26/2023 13:56,20230726,no,,20_percent,Plants,,250,10000,1,,GPS,GPS,Within 5m,WGS84,CEGL008296,Grazed_Domestic,,3,S,Sandy_Clay,2,7/26/2023 18:00,Local,10,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,,,-104.5889892,40.76871946
26,45a90016-c8a7-4d93-bdc0-14cc2a64487c,7/27/2023 14:58,40.70962272,-104.4454496,5112,feet,21006,21006,Arapaho and Roosevelt National Forests,1500 feet SE of CR 65,USFS,Take hwy 14 from Ault to CR 57 and head north. Then turn east onto CR 104 and turn south onto CR 65 and take until barbed wire gate. Walk 0.4 miles SE (have to cross fenceline).,HP,1015SA,Shale,USFSR2-14,PEAL2_HP1015SA_021006_20230727,7/27/2023 8:58,7/27/2023 10:00,20230727,no,,20_percent,Plants,,110,400,0.4,,GPS,GPS,Within 5m,WGS84,CEGL008296,Other,Evidence of shooting,5,NW,Sand,2,7/27/2023 18:00,Local,8,,,,"Penstemon sp. - large, unidentified","Individual_photo,landscape_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,,,-104.4454496,40.70962272
27,61ac9921-406a-4f14-afc7-a243a83b844b,7/25/2023 18:41,40.68256956,-104.00661,4794,feet,21006,21006,Arapaho and Roosevelt National Forests,CR 736,USFS,"From Hwy 14 West, turn North CR 109 approx 1mi, 90° turn eastward 1mi then northward 1mi to follow well-maintained CR 736, stop when CR 736 turns east again, historical fenced oil/gas pad west of road and windmill eastward approx 200ft",HP,1015SA,Sandstone,USFSR2-11,BOGR2_HP1015SA_021006_20230725,7/25/2023 12:41,7/25/2023 12:58,20230725,no,,20_percent,Plants,,2000,10000,1,,GPS,GPS,Within 5m,WGS84,CEGL001756,Grazed_Domestic,,4,NW,Sandy_Clay,2,7/25/2023 18:00,Local,10,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,Bags,herbarium_vouchers,filled_out",7/28/2023 17:52,ac15_CSUesri,7/28/2023 17:52,ac15_CSUesri,,,-104.00661,40.68256956
28,9dfe99bb-29db-4516-be56-88803919cf1a,7/27/2023 17:04,40.74097105,-104.3993772,5000,feet,21006,21006,Arapaho and Roosevelt National Forests,CR 104,USFS,"Hwy 14 east, north on CR 57, east on CR 104 approx 5miles, on south side of road near what appears to have been an irrigration ditch",HP,1015SA,Shale,,PASM_HP1015SA_021006_,,,,,,,,,,,,,,,,,,Grazed_Domestic,,,,,,,,,,,,,,7/28/2023 17:53,ac15_CSUesri,7/28/2023 17:53,ac15_CSUesri,,,-104.3993772,40.74097105
29,c36b4f24-c9a3-40e0-bd5c-c95dc4d258fc,7/27/2023 17:30,40.79923045,-104.4107531,5051,feet,21006,21006,Arapaho and Roosevelt National Forests,CR 69,USFS,"Hwy 14 east, north on CR 57, east on CR 104, north on Hwy 102, west on CR 110, north CR 69 approx 1 mile on east side of 2-track road ",HP,1015SA,Shale,USFSR2-15,BOGR2_HP1015SA_021006_20230727,7/27/2023 11:36,7/28/2023 11:36,20230727,no,,Every_5,Plants,,300,500000,1,,GPS,GPS,Within 5m,WGS84,CEGL008296,Grazed_Domestic,,3,S,Sandy_Clay,2,7/27/2023 18:00,Local,10,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/28/2023 17:53,ac15_CSUesri,7/28/2023 17:53,ac15_CSUesri,,,-104.4107531,40.79923045
30,eb2111c2-c8d0-4dc0-ac75-1e3f7840117b,7/19/2023 19:34,43.79400263,-103.8772527,6015,feet,20303,20303,Black Hills National Forest,Antelope Ridge,USFS,"On Antelope Ridge; from Hwy 16, north on FR 282, north on FR 283, approx 3/4mi north of FR 283.1C junction on open ridge past Pinus Ponderosa",MR,1015SH,Sandstone,USFSR2-07,NAVI4_MR1015SH_020303_20230719,7/19/2023 13:24,7/20/2023 13:24,20230719,no,,20_percent,Plants,,100,100000,2.5,,GPS,GPS,Within 5m,WGS84,CEGL000203,"Other,Timber_Harvest",Severe wildfire in 2000,5,W,Sandy_Clay_Loam,2,7/19/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/10/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/28/2023 17:55,ac15_CSUesri,7/28/2023 17:55,ac15_CSUesri,,,-103.8772527,43.79400263
31,1ee83553-46c0-483c-be3c-09bde1429c0f,7/20/2023 13:55,43.68706665,-103.847047,4840,feet,20303,20303,Black Hills National Forest,FR 277/274,USFS,"From Hwy 16, south on FR 277, field in NE at juntion of FR 277 and FR 274",MR,1015SH,Sandstone,USFSR2-09,NAVI4_MR1015SH_020303_20230720,7/20/2023 7:55,7/20/2023 13:55,20230720,no,,20_percent,Plants,,2000,10000,2.5,,GPS,GPS,Within 5m,WGS84,CSG031,"Sprayed,Grazed_Domestic",,3,SW,Sandy_Loam,2,7/20/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/10/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/28/2023 17:56,ac15_CSUesri,7/28/2023 17:56,ac15_CSUesri,,,-103.847047,43.68706665
32,358bad86-e39d-427e-81d7-806545f97ab4,7/31/2023 22:09,44.09509726,-107.2870795,6005,feet,20201,20201,Bighorn National Forest,CR 18/Old Hwy 16,USFS,"From Hwy 16 going SW of Tyrrell Ranger Station, south on CR 18/Old Hwy 16 approx 4 miles after several miles of steep terrain on west side of road in sagebrush habitat, slope approx 20",MR,0510HU,Limestone,,PSSP6_MR0510HU_020201_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,,,-107.2870795,44.09509726
33,a8d24779-4414-4545-a47f-a0de63b2c30c,8/1/2023 19:26,44.28455747,-106.9679463,8004,feet,20201,20201,Bighorn National Forest,CR 20,USFS,"From Hwy 16 west from Buffalo, west on CR 20, south on FR 397 approx 400ft",MR,1015SH,Metagraywacke,,POSE_MR1015SH_020201_,,,,,,,,,,,,,,,,,,"Timber_Harvest,Insect_damage",,,,,,,,,,,,,,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,,,-106.9679463,44.28455747
34,f2dc163c-ff72-4d74-a37f-014a5fe95e54,8/2/2023 18:16,44.25164991,-106.9351791,8050,feet,20201,20201,Bighorn National Forest,CR 22,USFS,"From Hwy 16 West from Buffalo, east on CR 22 approx 1.25 miles just past cattle grate into open field on north and south sides of the road",MR,1015SH,Metagraywacke,USFSR2-17,FEID_MR1015SH_020201_20230802,8/2/2023 12:35,8/3/2023 12:35,20230802,no,,Every_5,Plants,,1500,50000,1,,GPS,GPS,Within 5m,WGS84,CSG031,"Insect_damage,Other",Human disturbance via ATVs and dispered camping,3,N,Sandy_Clay_Loam,2,8/2/2023 18:00,Local,7,"Smith, J. ",From Pressed Specimen on Another Date,8/8/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,,,-106.9351791,44.25164991
35,978ad48c-fbb8-407e-ad10-1d3aac6b717f,8/3/2023 13:48,44.25215502,-106.9317628,8051,feet,20201,20201,Bighorn National Forest,CR 22,USFS,"From Hwy 16 West from Buffalo WY, east on CR 22 approx 1.25 mile just past forested area and cattle grate where open field appears on north and south sides of road",MR,1015SH,Metagraywacke,USFSR2-18,NAVI4_MR1015SH_020201_20230803,8/3/2023 7:53,8/3/2023 12:35,20230803,no,,Every_5,Plants,,175,1000,3,,GPS,GPS,Within 5m,WGS84,CSG031,"Other,Insect_damage","Human disturbance: camping, ATVs",3,N,Sandy_Clay_Loam,,8/3/2023 18:00,Local,,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,filled_out,Bags",8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,,,-106.9317628,44.25215502
36,33f529c7-fffb-4ad2-ad9e-78a5b8b3fd40,8/1/2023 15:25,44.35703275,-106.9825575,8130,feet,20201,20201,Bighorn National Forest,"CR 396, just past intersection of CR 399",USFS,"From hwy 16 going north towards Buffalo, head north on CR 19 towards hunter campground. Then head north on CR 396 about a mile then east on CR 396 after CR 399 intersection about 100ft.",MR,1015SH,Sand,,NAVI4_MR1015SH_020201_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9825575,44.35703275
